order_id,order_date,customer_id,product_id,warehouse_id,quantity_ordered,order_value,promised_delivery_date,actual_delivery_date,order_status
ORD000040,2024-01-08,CUST00015,PROD067,WH002,10,2308.5,2024-01-14,2024-01-12,Delivered
ORD000041,2025-01-19,CUST00742,PROD027,WH006,2,666.64,2025-01-26,2025-01-25,Delivered
ORD000042,2024-04-19,CUST00536,PROD055,WH010,5,1680.95,2024-04-22,2024-04-21,Delivered
ORD000043,2025-07-02,CUST01394,PROD073,WH006,1,364.77,2025-07-07,2025-07-12,Delayed
ORD000044,2025-02-10,CUST00989,PROD053,WH009,2,533.26,2025-02-13,2025-02-11,Delivered
ORD000045,2024-07-02,CUST00520,PROD072,WH009,1,128.01,2024-07-06,2024-07-14,Delayed
ORD000046,2024-11-10,CUST00283,PROD045,WH007,5,783.6,2024-11-16,2024-11-14,Delivered
ORD000047,2025-11-06,CUST01604,PROD096,WH004,3,754.2,2025-11-08,2025-11-16,Delayed
ORD000048,2025-12-17,CUST00821,PROD013,WH004,2,159.08,2025-12-20,2025-12-18,Delivered
ORD000049,2024-12-12,CUST00797,PROD079,WH001,1,442.65,2024-12-18,2024-12-18,Delivered
ORD000050,2025-10-13,CUST01897,PROD012,WH003,10,1303.5,2025-10-15,2025-10-14,Delivered
ORD000051,2025-09-06,CUST00455,PROD012,WH002,1,130.35,2025-09-11,2025-09-10,Delivered
ORD000052,2025-01-14,CUST00788,PROD078,WH001,1,384.42,2025-01-16,2025-01-14,Delivered
ORD000053,2025-02-14,CUST01458,PROD084,WH009,1,8.75,2025-02-20,2025-02-19,Delivered
ORD000054,2025-09-03,CUST01013,PROD100,WH003,15,7614.0,2025-09-05,2025-09-03,Delivered
ORD000055,2025-03-25,CUST00399,PROD026,WH009,2,682.58,2025-03-27,2025-03-26,Delivered
ORD000056,2024-02-04,CUST00475,PROD066,WH009,1,191.15,2024-02-10,2024-02-08,Delivered
ORD000057,2025-09-21,CUST00490,PROD087,WH001,2,529.6,2025-09-24,2025-09-23,Delivered
ORD000058,2025-11-01,CUST01597,PROD021,WH002,20,2255.6,2025-11-03,2025-11-08,Delayed
ORD000059,2025-02-13,CUST01201,PROD086,WH007,3,723.03,2025-02-17,2025-02-24,Delayed
ORD000060,2024-07-24,CUST01126,PROD002,WH002,20,2571.0,2024-07-30,2024-07-30,Delivered
ORD000061,2024-10-18,CUST00712,PROD072,WH010,3,384.03,2024-10-25,2024-10-24,Delivered
ORD000062,2024-10-10,CUST01905,PROD078,WH004,1,384.42,2024-10-13,2024-10-12,Delivered
ORD000063,2025-02-17,CUST00834,PROD001,WH005,10,283.9,2025-02-23,2025-02-23,Delivered
ORD000064,2025-06-02,CUST00603,PROD072,WH002,3,384.03,2025-06-04,2025-06-02,Delivered
ORD000065,2024-12-14,CUST01666,PROD066,WH005,10,1911.5,2024-12-16,2024-12-14,Delivered
ORD000066,2025-08-11,CUST01154,PROD089,WH008,3,1012.92,2025-08-15,2025-08-14,Delivered
ORD000067,2025-05-10,CUST01396,PROD097,WH006,10,1023.0,2025-05-13,2025-05-12,Delivered
ORD000068,2025-04-16,CUST00529,PROD004,WH008,5,990.35,2025-04-22,2025-04-22,Delivered
ORD000069,2024-03-10,CUST01437,PROD082,WH004,5,966.6,2024-03-15,2024-03-13,Delivered
ORD000070,2024-08-23,CUST01098,PROD053,WH006,1,266.63,2024-08-27,2024-08-25,Delivered
ORD000071,2024-01-10,CUST00191,PROD034,WH004,15,1211.85,2024-01-17,2024-01-16,Delivered
ORD000072,2025-02-12,CUST01136,PROD096,WH006,3,754.2,2025-02-19,2025-02-19,Delivered
ORD000073,2024-07-01,CUST01832,PROD041,WH006,1,112.31,2024-07-06,2024-07-06,Delivered
ORD000074,2025-08-10,CUST01510,PROD024,WH004,1,377.72,2025-08-14,2025-08-13,Delivered
ORD000075,2024-07-23,CUST00424,PROD095,WH004,1,345.03,2024-07-26,2024-07-25,Delivered
ORD000076,2024-08-22,CUST00320,PROD032,WH010,3,1014.09,2024-08-25,2024-08-24,Delivered
ORD000077,2024-04-19,CUST00014,PROD011,WH008,3,991.68,2024-04-21,2024-04-19,Delivered
ORD000078,2025-07-08,CUST00646,PROD062,WH006,3,166.26,2025-07-10,2025-07-08,Delivered
ORD000079,2025-05-19,CUST01566,PROD036,WH008,3,1409.04,2025-05-25,2025-05-25,Delivered
ORD000080,2025-06-07,CUST00263,PROD051,WH004,4,779.16,2025-06-11,2025-06-09,Delivered
ORD000081,2024-02-25,CUST00067,PROD055,WH008,2,672.38,2024-03-02,2024-02-29,Delivered
ORD000082,2025-05-29,CUST02000,PROD051,WH003,5,973.95,2025-06-02,2025-06-01,Delivered
ORD000083,2024-05-03,CUST00647,PROD067,WH008,1,230.85,2024-05-10,,Cancelled
ORD000084,2025-12-06,CUST01190,PROD002,WH004,2,257.1,2025-12-08,2025-12-07,Delivered
ORD000085,2024-04-13,CUST00384,PROD047,WH010,2,734.96,2024-04-17,2024-04-16,Delivered
ORD000086,2025-07-15,CUST01964,PROD031,WH005,1,142.15,2025-07-19,2025-07-18,Delivered
ORD000087,2025-09-19,CUST00869,PROD047,WH003,15,5512.2,2025-09-23,2025-09-22,Delivered
ORD000088,2024-08-03,CUST01750,PROD090,WH006,3,892.02,2024-08-08,2024-08-07,Delivered
ORD000089,2025-02-14,CUST00269,PROD058,WH003,10,3348.5,2025-02-18,2025-02-16,Delivered
ORD000090,2025-08-12,CUST00553,PROD030,WH002,3,70.65,2025-08-19,2025-08-17,Delivered
ORD000091,2024-08-29,CUST00299,PROD056,WH007,1,69.46,2024-09-04,2024-09-08,Delayed
ORD000092,2024-06-02,CUST01024,PROD002,WH003,1,128.55,2024-06-07,2024-06-06,Delivered
ORD000093,2024-05-17,CUST01609,PROD067,WH009,4,923.4,2024-05-24,2024-05-30,Delayed
ORD000094,2025-05-13,CUST00098,PROD033,WH009,15,3115.2,2025-05-17,2025-05-15,Delivered
ORD000095,2025-02-11,CUST00442,PROD089,WH003,10,3376.4,2025-02-13,2025-02-14,Delayed
ORD000096,2024-09-17,CUST01525,PROD081,WH002,2,187.64,2024-09-22,2024-09-21,Delivered
ORD000097,2024-12-08,CUST01148,PROD047,WH006,4,1469.92,2024-12-12,,Cancelled
ORD000098,2025-07-24,CUST00249,PROD045,WH001,3,470.16,2025-07-28,2025-07-27,Delivered
ORD000099,2024-12-25,CUST01182,PROD078,WH004,4,1537.68,2025-01-01,,Cancelled
ORD000100,2025-08-12,CUST01599,PROD084,WH009,10,87.5,2025-08-19,2025-08-22,Delayed
ORD000101,2024-10-18,CUST01587,PROD042,WH009,10,1007.4,2024-10-22,2024-10-21,Delivered
ORD000102,2025-04-02,CUST00950,PROD049,WH010,1,204.48,2025-04-04,2025-04-03,Delivered
ORD000103,2025-10-08,CUST01293,PROD022,WH006,1,126.57,2025-10-11,2025-10-10,Delivered
ORD000104,2025-09-19,CUST00332,PROD052,WH002,2,192.22,2025-09-25,2025-09-25,Delivered
ORD000105,2024-12-17,CUST00597,PROD041,WH006,1,112.31,2024-12-20,2024-12-18,Delivered
ORD000106,2024-09-30,CUST01818,PROD083,WH007,3,168.45,2024-10-06,2024-10-11,Delayed
ORD000107,2025-03-31,CUST01978,PROD096,WH010,1,251.4,2025-04-04,2025-04-02,Delivered
ORD000108,2025-04-06,CUST00257,PROD022,WH003,1,126.57,2025-04-11,2025-04-11,Delivered
ORD000109,2024-08-28,CUST00342,PROD033,WH002,2,415.36,2024-09-04,2024-09-04,Delivered
ORD000110,2025-02-10,CUST01124,PROD013,WH002,4,318.16,2025-02-12,2025-02-11,Delivered
ORD000111,2024-02-25,CUST01567,PROD099,WH007,1,231.37,2024-02-27,2024-02-25,Delivered
ORD000112,2024-03-26,CUST00173,PROD034,WH010,3,242.37,2024-03-28,2024-03-28,Delivered
ORD000113,2025-11-01,CUST01511,PROD040,WH004,4,1704.72,2025-11-06,2025-11-10,Delayed
ORD000114,2024-10-17,CUST01079,PROD081,WH003,10,938.2,2024-10-22,2024-10-22,Delivered
ORD000115,2024-06-23,CUST01770,PROD005,WH006,2,963.6,2024-06-25,2024-06-24,Delivered
ORD000116,2025-05-02,CUST00912,PROD070,WH005,1,120.25,2025-05-07,2025-05-05,Delivered
ORD000117,2024-05-18,CUST01224,PROD070,WH003,3,360.75,2024-05-25,2024-05-23,Delivered
ORD000118,2025-04-12,CUST01073,PROD096,WH010,2,502.8,2025-04-19,2025-04-18,Delivered
ORD000119,2025-10-17,CUST00987,PROD069,WH005,1,323.76,2025-10-24,2025-10-23,Delivered
ORD000120,2025-07-06,CUST00750,PROD012,WH008,1,130.35,2025-07-09,2025-07-08,Delivered
ORD000121,2025-02-26,CUST00001,PROD020,WH005,3,1196.25,2025-03-02,2025-03-02,Delivered
ORD000122,2025-06-19,CUST01096,PROD045,WH005,2,313.44,2025-06-22,2025-06-21,Delivered
ORD000123,2024-01-09,CUST00019,PROD063,WH008,4,477.2,2024-01-16,2024-01-21,Delayed
ORD000124,2025-03-16,CUST01123,PROD077,WH004,3,417.87,2025-03-20,2025-03-20,Delivered
ORD000125,2025-01-17,CUST00809,PROD053,WH009,4,1066.52,2025-01-20,2025-01-19,Delivered
ORD000126,2024-09-12,CUST00452,PROD092,WH007,10,1036.8,2024-09-15,2024-09-14,Delivered
ORD000127,2024-09-26,CUST01566,PROD055,WH004,1,336.19,2024-09-28,2024-09-26,Delivered
ORD000128,2025-09-19,CUST01329,PROD088,WH005,2,331.96,2025-09-26,2025-09-25,Delivered
ORD000129,2025-06-28,CUST00374,PROD053,WH004,20,5332.6,2025-07-02,2025-07-02,Delivered
ORD000130,2024-05-19,CUST00928,PROD015,WH008,2,558.82,2024-05-23,2024-05-21,Delivered
ORD000131,2024-10-05,CUST00657,PROD080,WH008,1,215.85,2024-10-12,2024-10-12,Delivered
ORD000132,2024-01-20,CUST00381,PROD007,WH009,1,322.03,2024-01-23,2024-01-23,Delivered
ORD000133,2024-04-14,CUST00898,PROD035,WH003,3,319.89,2024-04-18,2024-04-16,Delivered
ORD000134,2024-01-09,CUST01011,PROD012,WH003,2,260.7,2024-01-12,2024-01-12,Delivered
ORD000135,2024-08-10,CUST00761,PROD054,WH005,4,106.68,2024-08-14,2024-08-13,Delivered
ORD000136,2025-04-19,CUST01728,PROD005,WH006,1,481.8,2025-04-26,2025-04-26,Delivered
ORD000137,2024-05-29,CUST01113,PROD035,WH007,1,106.63,2024-05-31,2024-05-31,Delivered
ORD000138,2025-04-26,CUST01697,PROD025,WH005,1,66.12,2025-04-29,2025-04-28,Delivered
ORD000139,2024-01-13,CUST01580,PROD099,WH004,3,694.11,2024-01-15,2024-01-22,Delayed
ORD000140,2025-03-29,CUST00944,PROD095,WH001,4,1380.12,2025-04-01,2025-04-01,Delivered
ORD000141,2024-04-06,CUST00797,PROD086,WH004,3,723.03,2024-04-12,2024-04-11,Delivered
ORD000142,2025-11-28,CUST01492,PROD042,WH003,1,100.74,2025-12-02,2025-11-30,Delivered
ORD000143,2024-02-13,CUST00519,PROD071,WH009,4,1929.72,2024-02-20,2024-02-22,Delayed
ORD000144,2025-05-07,CUST01818,PROD039,WH004,5,1971.05,2025-05-14,2025-05-13,Delivered
ORD000145,2024-02-23,CUST01297,PROD028,WH002,2,440.78,2024-03-01,2024-03-01,Delivered
ORD000146,2025-03-20,CUST01198,PROD002,WH003,1,128.55,2025-03-24,2025-03-23,Delivered
ORD000147,2024-05-02,CUST01191,PROD032,WH001,2,676.06,2024-05-07,2024-05-07,Delivered
ORD000148,2025-12-08,CUST00761,PROD089,WH010,1,337.64,2025-12-13,2025-12-13,Delivered
ORD000149,2024-04-01,CUST01405,PROD021,WH008,1,112.78,2024-04-04,2024-04-04,Delivered
ORD000150,2025-09-25,CUST00729,PROD098,WH001,1,93.94,2025-09-29,2025-09-29,Delivered
ORD000151,2025-10-22,CUST00258,PROD090,WH009,2,594.68,2025-10-25,2025-10-25,Delivered
ORD000152,2025-05-14,CUST01550,PROD041,WH009,4,449.24,2025-05-17,2025-05-15,Delivered
ORD000153,2024-12-21,CUST01412,PROD094,WH004,4,1653.88,2024-12-26,2024-12-26,Delivered
ORD000154,2025-01-21,CUST01841,PROD093,WH003,4,1580.52,2025-01-25,2025-01-24,Delivered
ORD000155,2024-02-10,CUST00604,PROD091,WH008,3,134.1,2024-02-15,2024-02-13,Delivered
ORD000156,2025-07-09,CUST00383,PROD063,WH004,1,119.3,2025-07-16,2025-07-14,Delivered
ORD000157,2025-07-10,CUST01777,PROD042,WH008,15,1511.1,2025-07-14,2025-07-13,Delivered
ORD000158,2025-09-05,CUST00318,PROD021,WH002,1,112.78,2025-09-11,2025-09-09,Delivered
ORD000159,2025-04-05,CUST00930,PROD034,WH009,20,1615.8,2025-04-09,2025-04-08,Delivered
ORD000160,2024-01-01,CUST00380,PROD065,WH007,4,865.76,2024-01-08,2024-01-06,Delivered
ORD000161,2024-01-20,CUST00657,PROD047,WH010,5,1837.4,2024-01-26,2024-01-26,Delivered
ORD000162,2024-03-05,CUST01074,PROD069,WH007,3,971.28,2024-03-12,2024-03-12,Delivered
ORD000163,2025-11-30,CUST01256,PROD099,WH009,2,462.74,2025-12-05,2025-12-05,Delivered
ORD000164,2024-10-16,CUST00198,PROD053,WH006,3,799.89,2024-10-20,2024-10-20,Delivered
ORD000165,2025-06-19,CUST00366,PROD009,WH001,4,100.28,2025-06-26,2025-06-26,Delivered
ORD000166,2024-02-02,CUST00203,PROD014,WH008,2,101.76,2024-02-05,2024-02-05,Delivered
ORD000167,2024-02-02,CUST01004,PROD083,WH007,1,56.15,2024-02-08,2024-02-06,Delivered
ORD000168,2025-06-22,CUST00101,PROD090,WH010,15,4460.1,2025-06-28,2025-06-27,Delivered
ORD000169,2025-01-10,CUST01906,PROD078,WH002,1,384.42,2025-01-13,2025-01-13,Delivered
ORD000170,2024-08-01,CUST01641,PROD063,WH002,5,596.5,2024-08-08,2024-08-07,Delivered
ORD000171,2025-10-16,CUST01922,PROD047,WH009,20,7349.6,2025-10-18,2025-10-16,Delivered
ORD000172,2025-03-01,CUST00545,PROD091,WH001,5,223.5,2025-03-05,2025-03-03,Delivered
ORD000173,2025-06-25,CUST00160,PROD094,WH002,2,826.94,2025-06-27,2025-06-26,Delivered
ORD000174,2024-08-09,CUST00474,PROD013,WH002,3,238.62,2024-08-15,2024-08-13,Delivered
ORD000175,2025-06-28,CUST01346,PROD025,WH004,1,66.12,2025-07-03,2025-07-01,Delivered
ORD000176,2024-09-11,CUST01529,PROD081,WH003,2,187.64,2024-09-17,2024-09-24,Delayed
ORD000177,2024-04-18,CUST00940,PROD074,WH006,4,797.64,2024-04-25,2024-04-23,Delivered
ORD000178,2025-12-20,CUST01623,PROD055,WH002,20,6723.8,2025-12-27,2025-12-27,Delivered
ORD000179,2024-07-03,CUST01347,PROD052,WH009,2,192.22,2024-07-09,2024-07-08,Delivered
ORD000180,2024-06-10,CUST01912,PROD077,WH008,1,139.29,2024-06-16,,Cancelled
ORD000181,2024-12-26,CUST00845,PROD071,WH006,10,4824.3,2024-12-30,2024-12-29,Delivered
ORD000182,2025-10-10,CUST00493,PROD093,WH006,4,1580.52,2025-10-15,2025-10-13,Delivered
ORD000183,2025-07-30,CUST01897,PROD028,WH007,20,4407.8,2025-08-05,2025-08-03,Delivered
ORD000184,2024-09-17,CUST00001,PROD058,WH008,5,1674.25,2024-09-21,2024-09-20,Delivered
ORD000185,2024-02-05,CUST00277,PROD077,WH001,2,278.58,2024-02-09,2024-02-07,Delivered
ORD000186,2024-11-05,CUST01753,PROD039,WH004,5,1971.05,2024-11-07,2024-11-07,Delivered
ORD000187,2024-11-18,CUST01048,PROD099,WH005,10,2313.7,2024-11-20,2024-11-18,Delivered
ORD000188,2025-07-23,CUST00078,PROD074,WH003,3,598.23,2025-07-29,2025-07-31,Delayed
ORD000189,2025-04-16,CUST00752,PROD020,WH003,5,1993.75,2025-04-20,2025-04-19,Delivered
ORD000190,2025-08-19,CUST00189,PROD030,WH005,5,117.75,2025-08-22,2025-08-21,Delivered
ORD000191,2025-08-07,CUST01482,PROD073,WH004,2,729.54,2025-08-12,2025-08-14,Delayed
ORD000192,2024-11-28,CUST01440,PROD023,WH008,15,5114.7,2024-12-03,2024-12-01,Delivered
ORD000193,2025-08-13,CUST01497,PROD077,WH005,20,2785.8,2025-08-15,2025-08-15,Delivered
ORD000194,2025-08-13,CUST00713,PROD011,WH001,3,991.68,2025-08-18,2025-08-24,Delayed
ORD000195,2025-03-20,CUST01337,PROD016,WH004,1,12.86,2025-03-25,2025-03-23,Delivered
ORD000196,2025-09-08,CUST00625,PROD082,WH007,2,386.64,2025-09-10,2025-09-10,Delivered
ORD000197,2025-06-20,CUST00307,PROD041,WH009,2,224.62,2025-06-22,2025-06-20,Delivered
ORD000198,2024-11-30,CUST00104,PROD090,WH004,10,2973.4,2024-12-06,2024-12-06,Delivered
ORD000199,2025-11-20,CUST01179,PROD051,WH008,20,3895.8,2025-11-27,2025-11-25,Delivered
ORD000200,2025-05-31,CUST01611,PROD029,WH007,5,75.95,2025-06-02,2025-06-01,Delivered
ORD000201,2025-02-07,CUST00975,PROD017,WH006,1,346.12,2025-02-10,2025-02-10,Delivered
ORD000202,2025-08-08,CUST00538,PROD007,WH009,2,644.06,2025-08-15,2025-08-14,Delivered
ORD000203,2024-03-28,CUST00268,PROD065,WH007,2,432.88,2024-04-02,2024-03-31,Delivered
ORD000204,2024-05-18,CUST00810,PROD072,WH004,1,128.01,2024-05-23,2024-05-22,Delivered
ORD000205,2025-10-29,CUST01507,PROD026,WH009,10,3412.9,2025-11-04,2025-11-02,Delivered
ORD000206,2025-06-20,CUST01591,PROD032,WH002,10,3380.3,2025-06-23,2025-06-22,Delivered
ORD000207,2025-03-16,CUST00231,PROD088,WH010,1,165.98,2025-03-20,2025-03-20,Delivered
ORD000208,2025-11-18,CUST00391,PROD055,WH006,3,1008.57,2025-11-23,2025-11-22,Delivered
ORD000209,2024-11-24,CUST00347,PROD077,WH001,2,278.58,2024-11-28,2024-11-27,Delivered
ORD000210,2024-12-24,CUST00903,PROD057,WH010,2,729.56,2024-12-30,2024-12-30,Delivered
ORD000211,2024-02-15,CUST01552,PROD026,WH006,1,341.29,2024-02-18,2024-02-18,Delivered
ORD000212,2024-03-28,CUST01944,PROD095,WH001,2,690.06,2024-03-30,2024-03-30,Delivered
ORD000213,2025-09-27,CUST01421,PROD037,WH001,2,665.68,2025-09-30,2025-09-29,Delivered
ORD000214,2024-04-23,CUST00680,PROD058,WH008,15,5022.75,2024-04-27,2024-04-27,Delivered
ORD000215,2024-08-02,CUST01120,PROD069,WH004,3,971.28,2024-08-09,2024-08-13,Delayed
ORD000216,2025-06-19,CUST01495,PROD071,WH008,2,964.86,2025-06-23,2025-06-21,Delivered
ORD000217,2024-05-24,CUST00772,PROD090,WH001,1,297.34,2024-05-31,,Cancelled
ORD000218,2025-08-19,CUST00349,PROD068,WH001,10,2818.8,2025-08-26,2025-08-25,Delivered
ORD000219,2024-03-02,CUST00109,PROD026,WH010,2,682.58,2024-03-06,2024-03-05,Delivered
ORD000220,2025-04-21,CUST01353,PROD002,WH002,2,257.1,2025-04-28,2025-04-27,Delivered
ORD000221,2024-10-04,CUST00040,PROD085,WH006,15,3989.25,2024-10-11,2024-10-11,Delivered
ORD000222,2024-10-26,CUST01042,PROD050,WH004,2,717.2,2024-11-02,2024-11-01,Delivered
ORD000223,2024-04-11,CUST00181,PROD063,WH010,20,2386.0,2024-04-15,2024-04-13,Delivered
ORD000224,2024-07-09,CUST01898,PROD065,WH008,5,1082.2,2024-07-12,2024-07-10,Delivered
ORD000225,2024-01-23,CUST00684,PROD032,WH009,2,676.06,2024-01-25,2024-01-24,Delivered
ORD000226,2025-05-16,CUST00711,PROD096,WH003,1,251.4,2025-05-21,2025-05-21,Delivered
ORD000227,2025-12-01,CUST01027,PROD046,WH005,2,107.98,2025-12-05,2025-12-05,Delivered
ORD000228,2024-10-09,CUST01824,PROD081,WH005,2,187.64,2024-10-11,2024-10-10,Delivered
ORD000229,2024-01-31,CUST00700,PROD036,WH004,1,469.68,2024-02-06,2024-02-06,Delivered
ORD000230,2025-02-06,CUST00783,PROD018,WH002,4,1024.36,2025-02-13,2025-02-11,Delivered
ORD000231,2025-06-17,CUST00493,PROD079,WH004,2,885.3,2025-06-24,2025-06-23,Delivered
ORD000232,2025-08-09,CUST00920,PROD055,WH005,1,336.19,2025-08-12,2025-08-18,Delayed
ORD000233,2025-07-09,CUST01109,PROD027,WH003,1,333.32,2025-07-12,2025-07-10,Delivered
ORD000234,2025-12-01,CUST00881,PROD018,WH005,1,256.09,2025-12-04,2025-12-07,Delayed
ORD000235,2024-05-28,CUST00139,PROD073,WH003,1,364.77,2024-06-04,2024-06-03,Delivered
ORD000236,2025-07-24,CUST00651,PROD093,WH002,1,395.13,2025-07-30,2025-07-30,Delivered
ORD000237,2024-05-29,CUST01969,PROD004,WH006,2,396.14,2024-06-05,2024-06-04,Delivered
ORD000238,2025-02-25,CUST01596,PROD057,WH005,3,1094.34,2025-03-01,2025-03-01,Delivered
ORD000239,2024-07-11,CUST00054,PROD017,WH003,15,5191.8,2024-07-13,,Cancelled
ORD000240,2025-09-18,CUST01255,PROD035,WH010,1,106.63,2025-09-24,2025-09-22,Delivered
ORD000241,2024-08-24,CUST00054,PROD030,WH004,10,235.5,2024-08-30,2024-08-28,Delivered
ORD000242,2025-01-02,CUST01029,PROD089,WH008,3,1012.92,2025-01-04,2025-01-04,Delivered
ORD000243,2025-09-11,CUST01746,PROD092,WH006,3,311.04,2025-09-16,2025-09-16,Delivered
ORD000244,2025-01-31,CUST00396,PROD061,WH003,3,845.43,2025-02-05,2025-02-05,Delivered
ORD000245,2024-08-19,CUST01947,PROD053,WH001,4,1066.52,2024-08-21,2024-08-20,Delivered
ORD000246,2025-02-26,CUST00136,PROD096,WH004,10,2514.0,2025-03-01,2025-03-01,Delivered
ORD000247,2024-06-30,CUST00666,PROD079,WH008,3,1327.95,2024-07-05,2024-07-03,Delivered
ORD000248,2025-04-13,CUST01246,PROD055,WH007,3,1008.57,2025-04-16,2025-04-16,Delivered
ORD000249,2025-01-24,CUST01924,PROD041,WH007,15,1684.65,2025-01-31,2025-01-29,Delivered
ORD000250,2025-08-08,CUST01067,PROD069,WH009,3,971.28,2025-08-14,2025-08-15,Delayed
ORD000251,2024-04-21,CUST01798,PROD059,WH001,1,122.76,2024-04-26,,Cancelled
ORD000252,2024-09-08,CUST00081,PROD069,WH007,1,323.76,2024-09-14,2024-09-12,Delivered
ORD000253,2025-07-25,CUST00597,PROD067,WH001,2,461.7,2025-07-30,2025-07-30,Delivered
ORD000254,2025-03-26,CUST00341,PROD039,WH005,1,394.21,2025-03-31,2025-04-08,Delayed
ORD000255,2025-03-08,CUST00950,PROD079,WH001,2,885.3,2025-03-12,2025-03-15,Delayed
ORD000256,2025-10-23,CUST00369,PROD012,WH009,1,130.35,2025-10-28,2025-10-28,Delivered
ORD000257,2025-08-22,CUST00847,PROD070,WH003,5,601.25,2025-08-29,2025-09-05,Delayed
ORD000258,2024-11-27,CUST01209,PROD004,WH003,5,990.35,2024-12-02,2024-12-01,Delivered
ORD000259,2024-07-25,CUST01417,PROD012,WH005,20,2607.0,2024-07-30,2024-07-29,Delivered
ORD000260,2025-10-26,CUST00187,PROD021,WH002,15,1691.7,2025-11-02,,Cancelled
ORD000261,2024-04-26,CUST01073,PROD058,WH006,20,6697.0,2024-05-03,2024-05-03,Delivered
