return_id,order_id,product_id,return_date,return_reason,return_cost
RET000135,ORD001287,PROD013,2024-04-04,Wrong Item,18.2
RET000136,ORD001293,PROD066,2025-04-11,Damaged Item,36.55
RET000137,ORD001301,PROD041,2024-12-26,Late Delivery,71.16
RET000138,ORD001304,PROD073,2024-08-25,Late Delivery,122.48
RET000139,ORD001325,PROD070,2025-09-12,Late Delivery,146.73
RET000140,ORD001336,PROD005,2024-01-30,Late Delivery,125.53
RET000141,ORD001359,PROD062,2024-12-28,Damaged Item,112.34
RET000142,ORD001367,PROD033,2025-02-27,Damaged Item,26.11
RET000143,ORD001403,PROD092,2024-10-12,Damaged Item,46.66
RET000144,ORD001418,PROD048,2025-04-03,Late Delivery,27.64
RET000145,ORD001432,PROD003,2025-03-30,Customer Changed Mind,85.66
RET000146,ORD001435,PROD003,2024-05-01,Wrong Item,122.12
RET000147,ORD001436,PROD065,2024-09-11,Customer Changed Mind,83.96
RET000148,ORD001461,PROD087,2025-08-09,Damaged Item,31.36
RET000149,ORD001472,PROD007,2025-07-07,Damaged Item,62.76
RET000150,ORD001487,PROD013,2024-11-10,Late Delivery,123.31
RET000151,ORD001500,PROD075,2024-12-02,Customer Changed Mind,104.83
RET000152,ORD001525,PROD043,2025-08-10,Quality Issue,10.58
RET000153,ORD001531,PROD100,2024-02-28,Damaged Item,34.24
RET000154,ORD001537,PROD096,2024-08-28,Customer Changed Mind,117.67
RET000155,ORD001547,PROD018,2024-04-09,Customer Changed Mind,71.52
RET000156,ORD001558,PROD055,2025-10-22,Quality Issue,91.17
RET000157,ORD001559,PROD087,2025-02-24,Late Delivery,120.65
RET000158,ORD001567,PROD002,2024-01-27,Wrong Item,111.76
RET000159,ORD001579,PROD055,2024-03-24,Wrong Item,83.34
RET000160,ORD001587,PROD065,2024-09-07,Damaged Item,95.55
RET000161,ORD001606,PROD095,2024-03-08,Customer Changed Mind,15.53
RET000162,ORD001607,PROD058,2025-03-22,Damaged Item,107.59
RET000163,ORD001610,PROD087,2025-09-29,Damaged Item,101.06
RET000164,ORD001612,PROD039,2024-04-29,Wrong Item,130.28
RET000165,ORD001630,PROD067,2024-04-25,Damaged Item,77.8
RET000166,ORD001644,PROD023,2025-04-07,Damaged Item,100.71
RET000167,ORD001647,PROD035,2024-02-18,Wrong Item,53.56
RET000168,ORD001674,PROD014,2025-05-30,Late Delivery,111.7
RET000169,ORD001677,PROD067,2025-10-07,Wrong Item,72.03
RET000170,ORD001678,PROD053,2025-06-19,Quality Issue,136.35
RET000171,ORD001690,PROD027,2025-07-19,Wrong Item,35.3
RET000172,ORD001723,PROD023,2025-04-27,Late Delivery,149.1
RET000173,ORD001724,PROD079,2025-01-26,Wrong Item,110.18
RET000174,ORD001725,PROD011,2024-07-10,Customer Changed Mind,86.99
RET000175,ORD001735,PROD073,2026-01-05,Customer Changed Mind,147.03
RET000176,ORD001758,PROD093,2024-09-23,Wrong Item,59.55
RET000177,ORD001762,PROD039,2025-06-20,Customer Changed Mind,116.71
RET000178,ORD001770,PROD090,2025-12-28,Customer Changed Mind,55.36
RET000179,ORD001771,PROD091,2025-02-03,Quality Issue,49.99
RET000180,ORD001773,PROD087,2024-12-19,Damaged Item,29.22
RET000181,ORD001789,PROD015,2025-07-22,Customer Changed Mind,12.38
RET000182,ORD001794,PROD048,2025-09-17,Damaged Item,145.62
RET000183,ORD001804,PROD066,2024-04-20,Quality Issue,78.29
RET000184,ORD001808,PROD032,2025-06-24,Customer Changed Mind,140.08
RET000185,ORD001814,PROD029,2024-04-20,Late Delivery,83.51
RET000186,ORD001815,PROD037,2024-03-28,Customer Changed Mind,58.44
RET000187,ORD001816,PROD077,2025-04-06,Damaged Item,127.33
RET000188,ORD001818,PROD020,2025-01-10,Damaged Item,109.03
RET000189,ORD001823,PROD004,2025-12-14,Late Delivery,60.43
RET000190,ORD001829,PROD054,2024-12-30,Wrong Item,145.59
RET000191,ORD001832,PROD058,2025-05-01,Wrong Item,93.3
RET000192,ORD001843,PROD004,2024-11-02,Customer Changed Mind,21.15
RET000193,ORD001848,PROD061,2025-03-07,Late Delivery,136.41
RET000194,ORD001858,PROD043,2026-01-04,Damaged Item,25.55
RET000195,ORD001876,PROD065,2024-04-27,Customer Changed Mind,86.22
RET000196,ORD001885,PROD015,2024-08-10,Late Delivery,78.69
RET000197,ORD001890,PROD065,2024-07-27,Damaged Item,117.23
RET000198,ORD001897,PROD028,2024-04-30,Customer Changed Mind,38.6
RET000199,ORD001906,PROD053,2025-03-06,Customer Changed Mind,51.51
RET000200,ORD001907,PROD099,2024-06-05,Wrong Item,74.71
RET000201,ORD001917,PROD100,2024-04-04,Quality Issue,128.97
RET000202,ORD001952,PROD062,2025-06-21,Damaged Item,93.63
RET000203,ORD001953,PROD001,2025-04-26,Customer Changed Mind,39.09
RET000204,ORD001954,PROD047,2024-04-29,Wrong Item,63.67
RET000205,ORD001963,PROD048,2025-03-12,Customer Changed Mind,79.78
RET000206,ORD001964,PROD043,2024-02-01,Damaged Item,93.09
RET000207,ORD001965,PROD006,2024-06-09,Wrong Item,104.32
RET000208,ORD001970,PROD017,2025-05-13,Wrong Item,22.96
RET000209,ORD001983,PROD070,2025-10-19,Customer Changed Mind,88.39
RET000210,ORD001988,PROD059,2024-04-21,Damaged Item,19.37
RET000211,ORD001997,PROD026,2025-10-07,Quality Issue,112.6
RET000212,ORD001998,PROD050,2025-02-26,Late Delivery,12.63
RET000213,ORD002005,PROD052,2024-10-25,Late Delivery,70.47
RET000214,ORD002015,PROD031,2025-09-26,Wrong Item,139.6
RET000215,ORD002020,PROD035,2025-04-15,Quality Issue,25.18
RET000216,ORD002048,PROD064,2024-10-09,Wrong Item,143.16
RET000217,ORD002052,PROD067,2025-03-14,Customer Changed Mind,44.91
RET000218,ORD002057,PROD065,2024-06-07,Damaged Item,123.37
RET000219,ORD002080,PROD088,2025-08-14,Damaged Item,87.92
RET000220,ORD002085,PROD048,2024-07-05,Customer Changed Mind,32.95
RET000221,ORD002098,PROD026,2025-07-30,Damaged Item,12.63
RET000222,ORD002102,PROD099,2025-05-28,Wrong Item,140.38
RET000223,ORD002105,PROD007,2025-07-13,Wrong Item,32.06
RET000224,ORD002124,PROD072,2024-08-05,Customer Changed Mind,121.48
RET000225,ORD002125,PROD061,2025-06-28,Damaged Item,20.14
RET000226,ORD002130,PROD073,2024-12-04,Quality Issue,65.9
RET000227,ORD002138,PROD080,2025-07-06,Wrong Item,129.39
RET000228,ORD002143,PROD083,2025-05-24,Damaged Item,32.94
RET000229,ORD002148,PROD095,2024-07-03,Quality Issue,121.32
RET000230,ORD002158,PROD053,2024-11-21,Wrong Item,98.89
RET000231,ORD002163,PROD095,2025-05-15,Damaged Item,142.2
RET000232,ORD002169,PROD039,2024-07-10,Late Delivery,70.86
RET000233,ORD002175,PROD089,2024-01-27,Wrong Item,65.98
RET000234,ORD002188,PROD050,2025-05-11,Quality Issue,121.08
RET000235,ORD002208,PROD077,2025-09-12,Quality Issue,67.7
RET000236,ORD002211,PROD008,2024-07-01,Wrong Item,102.01
RET000237,ORD002219,PROD052,2025-04-22,Customer Changed Mind,86.39
RET000238,ORD002238,PROD025,2024-12-23,Damaged Item,136.78
RET000239,ORD002244,PROD019,2024-11-02,Wrong Item,92.03
RET000240,ORD002254,PROD098,2025-09-08,Wrong Item,118.35
RET000241,ORD002262,PROD009,2024-05-25,Customer Changed Mind,31.75
RET000242,ORD002268,PROD031,2024-09-29,Late Delivery,19.06
RET000243,ORD002270,PROD098,2024-02-20,Late Delivery,28.52
RET000244,ORD002273,PROD004,2024-11-07,Customer Changed Mind,29.04
RET000245,ORD002278,PROD066,2025-08-11,Damaged Item,31.18
RET000246,ORD002290,PROD010,2025-11-26,Customer Changed Mind,12.08
RET000247,ORD002294,PROD055,2025-11-10,Wrong Item,119.66
RET000248,ORD002299,PROD072,2025-09-11,Wrong Item,110.91
RET000249,ORD002306,PROD001,2025-12-20,Wrong Item,45.16
RET000250,ORD002310,PROD085,2024-06-22,Customer Changed Mind,128.58
RET000251,ORD002313,PROD087,2024-11-03,Wrong Item,72.55
RET000252,ORD002328,PROD082,2024-08-23,Late Delivery,40.65
RET000253,ORD002331,PROD046,2024-05-13,Quality Issue,20.5
RET000254,ORD002334,PROD006,2025-09-30,Late Delivery,103.3
RET000255,ORD002370,PROD010,2025-10-17,Damaged Item,55.39
RET000256,ORD002381,PROD084,2024-10-30,Quality Issue,75.12
RET000257,ORD002397,PROD051,2025-01-27,Damaged Item,78.46
RET000258,ORD002398,PROD059,2024-09-24,Quality Issue,47.39
RET000259,ORD002416,PROD013,2024-08-19,Wrong Item,53.7
RET000260,ORD002420,PROD057,2025-10-11,Customer Changed Mind,95.67
RET000261,ORD002426,PROD074,2024-02-01,Customer Changed Mind,106.07
RET000262,ORD002442,PROD023,2025-01-23,Quality Issue,115.5
RET000263,ORD002467,PROD008,2025-08-03,Quality Issue,88.29
RET000264,ORD002475,PROD036,2025-10-08,Quality Issue,98.27
RET000265,ORD002503,PROD022,2024-04-13,Quality Issue,75.39
RET000266,ORD002532,PROD076,2025-02-10,Late Delivery,57.43
RET000267,ORD002537,PROD076,2024-08-30,Customer Changed Mind,104.98
RET000268,ORD002542,PROD003,2025-07-25,Damaged Item,23.48
RET000269,ORD002557,PROD033,2024-08-01,Damaged Item,104.31
RET000270,ORD002559,PROD069,2025-06-28,Damaged Item,44.72
RET000271,ORD002572,PROD005,2025-04-02,Customer Changed Mind,108.89
RET000272,ORD002585,PROD001,2024-04-29,Quality Issue,100.63
RET000273,ORD002592,PROD071,2024-07-25,Customer Changed Mind,87.58
RET000274,ORD002596,PROD091,2025-10-08,Customer Changed Mind,88.67
RET000275,ORD002610,PROD053,2024-11-03,Damaged Item,43.22
RET000276,ORD002643,PROD095,2024-06-24,Customer Changed Mind,113.22
RET000277,ORD002656,PROD041,2025-04-19,Damaged Item,18.84
RET000278,ORD002673,PROD078,2025-10-26,Damaged Item,123.94
RET000279,ORD002689,PROD100,2024-01-30,Customer Changed Mind,121.95
RET000280,ORD002693,PROD071,2025-11-12,Wrong Item,129.7
RET000281,ORD002714,PROD076,2025-07-06,Quality Issue,26.65
RET000282,ORD002720,PROD093,2025-03-06,Late Delivery,71.42
RET000283,ORD002721,PROD064,2025-10-12,Customer Changed Mind,49.63
RET000284,ORD002726,PROD089,2024-01-26,Wrong Item,65.52
RET000285,ORD002750,PROD031,2024-02-15,Quality Issue,47.56
RET000286,ORD002758,PROD097,2024-07-11,Customer Changed Mind,70.2
RET000287,ORD002783,PROD052,2024-08-11,Wrong Item,63.82
RET000288,ORD002785,PROD022,2024-02-25,Customer Changed Mind,107.12
RET000289,ORD002787,PROD008,2025-02-22,Customer Changed Mind,78.72
RET000290,ORD002797,PROD093,2025-04-23,Customer Changed Mind,22.35
RET000291,ORD002798,PROD018,2024-06-03,Wrong Item,125.53
RET000292,ORD002799,PROD063,2024-04-23,Customer Changed Mind,17.58
RET000293,ORD002810,PROD010,2024-08-17,Customer Changed Mind,26.05
RET000294,ORD002811,PROD007,2024-10-17,Damaged Item,104.13
RET000295,ORD002812,PROD051,2024-02-26,Customer Changed Mind,129.95
RET000296,ORD002816,PROD066,2025-06-20,Quality Issue,62.43
RET000297,ORD002817,PROD082,2024-01-23,Wrong Item,61.42
RET000298,ORD002829,PROD042,2025-10-26,Customer Changed Mind,84.43
RET000299,ORD002833,PROD074,2024-07-05,Late Delivery,119.16
RET000300,ORD002859,PROD024,2025-10-04,Damaged Item,102.75
RET000301,ORD002880,PROD003,2024-11-22,Wrong Item,90.94
RET000302,ORD002897,PROD031,2024-08-28,Quality Issue,33.08
RET000303,ORD002902,PROD079,2025-07-05,Customer Changed Mind,64.77
RET000304,ORD002919,PROD085,2025-05-04,Damaged Item,90.16
RET000305,ORD002960,PROD024,2024-05-07,Quality Issue,126.46
RET000306,ORD002961,PROD018,2024-02-14,Damaged Item,20.5
RET000307,ORD002962,PROD032,2025-07-11,Quality Issue,19.74
RET000308,ORD002968,PROD074,2024-12-27,Damaged Item,117.74
RET000309,ORD002970,PROD090,2025-09-15,Quality Issue,117.31
RET000310,ORD002972,PROD077,2025-12-06,Late Delivery,28.54
RET000311,ORD002978,PROD055,2025-05-24,Late Delivery,50.42
RET000312,ORD002981,PROD055,2024-04-16,Quality Issue,98.81
RET000313,ORD002983,PROD021,2024-12-14,Wrong Item,121.91
RET000314,ORD002985,PROD052,2025-10-12,Quality Issue,64.92
RET000315,ORD002991,PROD008,2024-03-07,Damaged Item,114.83
RET000316,ORD003002,PROD024,2025-08-09,Late Delivery,70.1
RET000317,ORD003018,PROD039,2024-02-25,Customer Changed Mind,71.08
RET000318,ORD003026,PROD075,2025-09-19,Customer Changed Mind,81.93
RET000319,ORD003030,PROD008,2024-04-11,Customer Changed Mind,33.53
RET000320,ORD003031,PROD081,2025-11-10,Wrong Item,103.91
RET000321,ORD003033,PROD011,2024-06-20,Wrong Item,42.1
RET000322,ORD003040,PROD054,2025-07-27,Late Delivery,94.76
RET000323,ORD003052,PROD014,2025-02-06,Damaged Item,37.84
RET000324,ORD003056,PROD066,2024-10-14,Quality Issue,132.74
RET000325,ORD003082,PROD090,2025-10-02,Quality Issue,121.8
RET000326,ORD003085,PROD041,2025-09-01,Quality Issue,30.89
RET000327,ORD003095,PROD018,2025-08-23,Damaged Item,78.93
RET000328,ORD003110,PROD052,2025-05-15,Quality Issue,78.89
RET000329,ORD003111,PROD004,2024-03-26,Wrong Item,44.41
RET000330,ORD003143,PROD061,2025-02-28,Customer Changed Mind,57.23
RET000331,ORD003162,PROD092,2025-07-05,Late Delivery,125.39
RET000332,ORD003163,PROD006,2024-06-18,Damaged Item,60.62
RET000333,ORD003178,PROD055,2025-12-03,Damaged Item,117.38
RET000334,ORD003183,PROD002,2025-07-08,Wrong Item,130.79
RET000335,ORD003187,PROD068,2025-05-14,Wrong Item,118.15
RET000336,ORD003191,PROD073,2025-04-28,Late Delivery,30.83
RET000337,ORD003213,PROD008,2024-11-03,Damaged Item,119.74
RET000338,ORD003224,PROD033,2024-01-11,Customer Changed Mind,31.07
RET000339,ORD003245,PROD005,2024-01-19,Damaged Item,116.88
RET000340,ORD003258,PROD088,2025-11-20,Customer Changed Mind,103.37
RET000341,ORD003268,PROD079,2024-03-07,Customer Changed Mind,140.47
RET000342,ORD003280,PROD003,2025-02-03,Late Delivery,64.37
RET000343,ORD003283,PROD049,2025-06-07,Customer Changed Mind,16.55
RET000344,ORD003287,PROD043,2024-08-30,Customer Changed Mind,119.16
RET000345,ORD003302,PROD083,2024-07-01,Late Delivery,147.24
RET000346,ORD003307,PROD071,2024-12-18,Late Delivery,139.02
RET000347,ORD003316,PROD071,2024-03-02,Customer Changed Mind,48.31
RET000348,ORD003319,PROD084,2025-06-05,Wrong Item,146.97
RET000349,ORD003322,PROD095,2025-12-01,Wrong Item,44.9
RET000350,ORD003323,PROD007,2025-10-27,Quality Issue,128.11
RET000351,ORD003325,PROD017,2025-06-09,Late Delivery,11.71
RET000352,ORD003340,PROD020,2026-01-08,Quality Issue,45.69
RET000353,ORD003344,PROD029,2024-07-24,Quality Issue,114.69
RET000354,ORD003351,PROD095,2024-03-03,Quality Issue,136.34
RET000355,ORD003353,PROD093,2025-11-01,Late Delivery,99.22
RET000356,ORD003391,PROD009,2025-04-10,Wrong Item,123.63
RET000357,ORD003397,PROD081,2025-02-17,Damaged Item,30.85
RET000358,ORD003414,PROD072,2025-08-04,Wrong Item,107.55
RET000359,ORD003417,PROD097,2024-12-23,Damaged Item,103.29
RET000360,ORD003437,PROD043,2025-12-09,Quality Issue,17.33
RET000361,ORD003442,PROD002,2024-07-02,Quality Issue,56.22
RET000362,ORD003443,PROD085,2024-06-01,Customer Changed Mind,144.78
RET000363,ORD003449,PROD050,2025-04-18,Quality Issue,112.01
RET000364,ORD003453,PROD015,2024-11-19,Damaged Item,146.53
RET000365,ORD003474,PROD041,2024-09-11,Customer Changed Mind,74.9
RET000366,ORD003475,PROD072,2025-06-30,Customer Changed Mind,107.25
RET000367,ORD003486,PROD083,2025-12-09,Customer Changed Mind,15.19
RET000368,ORD003502,PROD090,2024-07-22,Quality Issue,140.77
RET000369,ORD003524,PROD055,2024-01-16,Late Delivery,33.77
RET000370,ORD003527,PROD030,2024-04-10,Damaged Item,23.66
RET000371,ORD003529,PROD017,2024-10-30,Wrong Item,107.07
RET000372,ORD003549,PROD080,2024-05-01,Customer Changed Mind,133.15
RET000373,ORD003556,PROD025,2025-11-06,Quality Issue,50.45
RET000374,ORD003560,PROD022,2025-05-11,Customer Changed Mind,39.43
RET000375,ORD003578,PROD093,2024-08-08,Quality Issue,117.98
RET000376,ORD003587,PROD001,2024-06-11,Wrong Item,32.96
RET000377,ORD003598,PROD020,2025-09-30,Customer Changed Mind,62.33
RET000378,ORD003607,PROD071,2025-07-02,Late Delivery,39.86
RET000379,ORD003617,PROD020,2024-03-28,Damaged Item,47.69
RET000380,ORD003623,PROD006,2024-04-20,Customer Changed Mind,22.67
RET000381,ORD003624,PROD022,2025-02-07,Damaged Item,127.89
RET000382,ORD003640,PROD003,2025-02-22,Wrong Item,13.52
RET000383,ORD003645,PROD067,2024-10-29,Quality Issue,72.64
RET000384,ORD003658,PROD002,2025-04-14,Customer Changed Mind,93.87
RET000385,ORD003662,PROD099,2025-08-10,Damaged Item,25.03
RET000386,ORD003663,PROD086,2025-04-10,Quality Issue,79.75
RET000387,ORD003667,PROD048,2024-08-19,Wrong Item,80.71
RET000388,ORD003683,PROD085,2025-02-19,Damaged Item,50.0
RET000389,ORD003689,PROD092,2024-12-30,Late Delivery,126.56
RET000390,ORD003698,PROD027,2024-11-16,Damaged Item,106.45
RET000391,ORD003699,PROD069,2025-05-25,Damaged Item,125.53
RET000392,ORD003703,PROD023,2025-06-23,Customer Changed Mind,54.35
RET000393,ORD003710,PROD036,2024-07-21,Damaged Item,63.41
RET000394,ORD003727,PROD010,2025-12-03,Damaged Item,111.43
RET000395,ORD003729,PROD002,2024-03-28,Quality Issue,24.41
RET000396,ORD003732,PROD014,2025-03-03,Damaged Item,32.75
RET000397,ORD003734,PROD069,2024-12-28,Damaged Item,25.19
RET000398,ORD003763,PROD099,2025-09-11,Late Delivery,36.7
RET000399,ORD003781,PROD071,2025-10-29,Quality Issue,86.89
RET000400,ORD003782,PROD035,2024-04-27,Damaged Item,51.92
RET000401,ORD003797,PROD079,2025-05-22,Late Delivery,142.36
RET000402,ORD003823,PROD017,2024-11-15,Late Delivery,78.3
