inventory_id,date_key,product_id,warehouse_id,opening_stock,closing_stock,reorder_point,stockout_flag
INV0000052,20251204,PROD012,WH006,567,304,113,False
INV0000053,20251204,PROD066,WH006,1405,1081,397,False
INV0000054,20251204,PROD001,WH006,1158,784,341,False
INV0000055,20251204,PROD063,WH006,1082,938,162,False
INV0000056,20251204,PROD054,WH006,426,48,245,True
INV0000057,20251204,PROD011,WH006,653,260,358,True
INV0000058,20251204,PROD064,WH006,389,208,384,True
INV0000059,20251204,PROD077,WH006,511,343,255,False
INV0000060,20251204,PROD065,WH006,1293,1024,278,False
INV0000061,20251204,PROD084,WH007,768,424,288,False
INV0000062,20251204,PROD005,WH007,939,916,156,False
INV0000063,20251204,PROD008,WH007,499,169,366,True
INV0000064,20251204,PROD003,WH007,1194,836,100,False
INV0000065,20251204,PROD018,WH007,794,387,134,False
INV0000066,20251204,PROD044,WH007,1460,1014,322,False
INV0000067,20251204,PROD020,WH007,151,0,134,True
INV0000068,20251204,PROD100,WH007,871,389,153,False
INV0000069,20251204,PROD017,WH007,1208,971,263,False
INV0000070,20251204,PROD019,WH007,924,643,109,False
INV0000071,20251204,PROD056,WH008,1242,1183,185,False
INV0000072,20251204,PROD053,WH008,1456,986,336,False
INV0000073,20251204,PROD034,WH008,932,808,251,False
INV0000074,20251204,PROD098,WH008,636,559,390,False
INV0000075,20251204,PROD076,WH008,730,597,297,False
INV0000076,20251204,PROD063,WH008,156,0,381,True
INV0000077,20251204,PROD080,WH008,60,0,155,True
INV0000078,20251204,PROD066,WH008,1104,629,267,False
INV0000079,20251204,PROD054,WH008,263,0,337,True
INV0000080,20251204,PROD093,WH008,564,255,211,False
INV0000081,20251204,PROD040,WH009,397,313,208,False
INV0000082,20251204,PROD073,WH009,932,616,152,False
INV0000083,20251204,PROD020,WH009,440,355,308,False
INV0000084,20251204,PROD039,WH009,158,0,274,True
INV0000085,20251204,PROD055,WH009,1240,899,342,False
INV0000086,20251204,PROD042,WH009,56,0,139,True
INV0000087,20251204,PROD080,WH009,180,0,286,True
INV0000088,20251204,PROD088,WH009,676,619,272,False
INV0000089,20251204,PROD054,WH009,1392,1235,265,False
INV0000090,20251204,PROD037,WH009,1178,791,295,False
INV0000091,20251204,PROD044,WH010,1063,722,178,False
INV0000092,20251204,PROD054,WH010,775,444,218,False
INV0000093,20251204,PROD100,WH010,873,486,322,False
INV0000094,20251204,PROD007,WH010,1170,911,356,False
INV0000095,20251204,PROD001,WH010,799,744,338,False
INV0000096,20251204,PROD009,WH010,512,421,133,False
INV0000097,20251204,PROD041,WH010,143,87,389,True
INV0000098,20251204,PROD046,WH010,1246,1185,327,False
INV0000099,20251204,PROD070,WH010,1455,1247,327,False
INV0000100,20251204,PROD014,WH010,1491,1216,179,False
INV0000101,20240203,PROD048,WH001,1327,1260,333,False
INV0000102,20240203,PROD041,WH001,1260,838,261,False
INV0000103,20240203,PROD054,WH001,81,0,197,True
INV0000104,20240203,PROD004,WH001,1144,725,255,False
INV0000105,20240203,PROD006,WH001,1367,876,173,False
INV0000106,20240203,PROD062,WH001,186,0,370,True
INV0000107,20240203,PROD076,WH001,486,20,269,True
INV0000108,20240203,PROD002,WH001,1100,1006,140,False
INV0000109,20240203,PROD056,WH001,1036,783,339,False
INV0000110,20240203,PROD052,WH001,272,0,300,True
INV0000111,20240203,PROD080,WH002,866,432,140,False
INV0000112,20240203,PROD073,WH002,917,793,290,False
INV0000113,20240203,PROD091,WH002,423,69,253,True
INV0000114,20240203,PROD086,WH002,289,0,134,True
INV0000115,20240203,PROD049,WH002,258,0,134,True
INV0000116,20240203,PROD090,WH002,678,317,331,True
INV0000117,20240203,PROD077,WH002,503,442,303,False
INV0000118,20240203,PROD046,WH002,1098,986,131,False
INV0000119,20240203,PROD057,WH002,574,283,357,True
INV0000120,20240203,PROD084,WH002,858,602,159,False
INV0000121,20240203,PROD065,WH003,127,0,272,True
INV0000122,20240203,PROD021,WH003,939,492,281,False
INV0000123,20240203,PROD074,WH003,496,474,323,False
INV0000124,20240203,PROD046,WH003,703,220,355,True
INV0000125,20240203,PROD014,WH003,95,0,176,True
INV0000126,20240203,PROD025,WH003,1356,1200,157,False
INV0000127,20240203,PROD029,WH003,571,377,327,False
INV0000128,20240203,PROD034,WH003,957,676,359,False
INV0000129,20240203,PROD076,WH003,553,261,153,False
INV0000130,20240203,PROD011,WH003,880,731,224,False
INV0000131,20240203,PROD053,WH004,980,603,334,False
INV0000132,20240203,PROD089,WH004,826,729,208,False
INV0000133,20240203,PROD069,WH004,1354,1146,272,False
INV0000134,20240203,PROD042,WH004,419,310,281,False
INV0000135,20240203,PROD026,WH004,1375,1338,223,False
INV0000136,20240203,PROD070,WH004,156,0,104,True
INV0000137,20240203,PROD019,WH004,1243,763,370,False
INV0000138,20240203,PROD065,WH004,87,0,325,True
INV0000139,20240203,PROD006,WH004,1065,859,196,False
INV0000140,20240203,PROD066,WH004,1095,610,318,False
INV0000141,20240203,PROD023,WH005,1396,1205,242,False
INV0000142,20240203,PROD013,WH005,217,0,193,True
INV0000143,20240203,PROD033,WH005,1495,1247,147,False
INV0000144,20240203,PROD016,WH005,235,4,313,True
INV0000145,20240203,PROD056,WH005,1153,836,210,False
INV0000146,20240203,PROD067,WH005,926,438,338,False
INV0000147,20240203,PROD065,WH005,470,436,120,False
INV0000148,20240203,PROD083,WH005,635,600,360,False
INV0000149,20240203,PROD047,WH005,1439,1297,323,False
INV0000150,20240203,PROD069,WH005,1128,667,134,False
INV0000151,20240203,PROD069,WH006,150,0,304,True
INV0000152,20240203,PROD029,WH006,1412,1073,304,False
INV0000153,20240203,PROD100,WH006,708,474,201,False
INV0000154,20240203,PROD058,WH006,709,545,378,False
INV0000155,20240203,PROD056,WH006,1264,902,233,False
INV0000156,20240203,PROD028,WH006,1274,847,317,False
INV0000157,20240203,PROD097,WH006,677,449,337,False
INV0000158,20240203,PROD053,WH006,159,0,149,True
INV0000159,20240203,PROD099,WH006,313,0,208,True
INV0000160,20240203,PROD059,WH006,1361,962,144,False
INV0000161,20240203,PROD021,WH007,337,294,332,True
INV0000162,20240203,PROD089,WH007,1052,611,251,False
INV0000163,20240203,PROD031,WH007,298,115,126,True
INV0000164,20240203,PROD041,WH007,1420,1154,283,False
INV0000165,20240203,PROD028,WH007,315,261,383,True
INV0000166,20240203,PROD013,WH007,221,32,264,True
INV0000167,20240203,PROD063,WH007,1029,598,289,False
INV0000168,20240203,PROD020,WH007,316,154,162,True
INV0000169,20240203,PROD010,WH007,691,222,224,True
INV0000170,20240203,PROD093,WH007,572,96,202,True
INV0000171,20240203,PROD082,WH008,135,0,326,True
INV0000172,20240203,PROD031,WH008,608,121,269,True
INV0000173,20240203,PROD010,WH008,1493,1162,115,False
INV0000174,20240203,PROD009,WH008,831,609,207,False
INV0000175,20240203,PROD002,WH008,1008,527,314,False
INV0000176,20240203,PROD058,WH008,857,599,185,False
INV0000177,20240203,PROD007,WH008,1396,1277,206,False
INV0000178,20240203,PROD011,WH008,1180,715,222,False
INV0000179,20240203,PROD078,WH008,851,813,295,False
INV0000180,20240203,PROD008,WH008,1376,1095,372,False
INV0000181,20240203,PROD009,WH009,760,638,228,False
INV0000182,20240203,PROD032,WH009,518,36,202,True
INV0000183,20240203,PROD033,WH009,1434,1210,374,False
INV0000184,20240203,PROD088,WH009,356,112,273,True
INV0000185,20240203,PROD019,WH009,1121,770,193,False
INV0000186,20240203,PROD093,WH009,1180,1073,330,False
INV0000187,20240203,PROD068,WH009,1059,857,376,False
INV0000188,20240203,PROD089,WH009,1017,698,382,False
INV0000189,20240203,PROD056,WH009,535,90,289,True
INV0000190,20240203,PROD098,WH009,1205,830,353,False
INV0000191,20240203,PROD008,WH010,1084,987,181,False
INV0000192,20240203,PROD024,WH010,1005,538,347,False
INV0000193,20240203,PROD090,WH010,994,516,165,False
INV0000194,20240203,PROD081,WH010,140,0,281,True
INV0000195,20240203,PROD026,WH010,292,0,311,True
INV0000196,20240203,PROD065,WH010,604,117,306,True
INV0000197,20240203,PROD020,WH010,101,0,226,True
INV0000198,20240203,PROD033,WH010,209,0,240,True
INV0000199,20240203,PROD041,WH010,1228,1115,397,False
INV0000200,20240203,PROD021,WH010,1104,1092,155,False
INV0000201,20241027,PROD092,WH001,201,0,303,True
INV0000202,20241027,PROD018,WH001,839,379,373,False
INV0000203,20241027,PROD030,WH001,1332,1081,127,False
INV0000204,20241027,PROD053,WH001,919,668,278,False
INV0000205,20241027,PROD072,WH001,68,0,226,True
INV0000206,20241027,PROD098,WH001,1461,1316,370,False
INV0000207,20241027,PROD056,WH001,1072,714,237,False
INV0000208,20241027,PROD080,WH001,935,672,194,False
INV0000209,20241027,PROD002,WH001,702,662,101,False
INV0000210,20241027,PROD086,WH001,476,417,214,False
INV0000211,20241027,PROD083,WH002,1019,817,256,False
INV0000212,20241027,PROD086,WH002,1174,1082,205,False
INV0000213,20241027,PROD007,WH002,1215,808,355,False
INV0000214,20241027,PROD043,WH002,1129,742,166,False
INV0000215,20241027,PROD092,WH002,321,87,265,True
INV0000216,20241027,PROD046,WH002,820,747,287,False
INV0000217,20241027,PROD048,WH002,640,528,218,False
INV0000218,20241027,PROD091,WH002,398,319,289,False
INV0000219,20241027,PROD026,WH002,1379,1317,390,False
INV0000220,20241027,PROD082,WH002,948,635,270,False
INV0000221,20241027,PROD062,WH003,1375,964,330,False
INV0000222,20241027,PROD081,WH003,1395,1221,313,False
INV0000223,20241027,PROD080,WH003,589,445,230,False
INV0000224,20241027,PROD087,WH003,1252,849,184,False
INV0000225,20241027,PROD040,WH003,271,0,395,True
INV0000226,20241027,PROD065,WH003,847,696,233,False
INV0000227,20241027,PROD086,WH003,979,847,312,False
INV0000228,20241027,PROD056,WH003,1329,1073,341,False
INV0000229,20241027,PROD077,WH003,186,0,293,True
INV0000230,20241027,PROD074,WH003,1128,950,376,False
INV0000231,20241027,PROD030,WH004,338,117,355,True
INV0000232,20241027,PROD001,WH004,573,147,226,True
INV0000233,20241027,PROD041,WH004,750,419,365,False
INV0000234,20241027,PROD055,WH004,1103,659,108,False
INV0000235,20241027,PROD068,WH004,1350,860,326,False
INV0000236,20241027,PROD066,WH004,1289,1217,221,False
INV0000237,20241027,PROD020,WH004,1479,1205,121,False
INV0000238,20241027,PROD012,WH004,1082,979,234,False
INV0000239,20241027,PROD056,WH004,329,149,133,False
INV0000240,20241027,PROD067,WH004,350,204,294,True
INV0000241,20241027,PROD002,WH005,1271,780,325,False
INV0000242,20241027,PROD069,WH005,755,392,130,False
INV0000243,20241027,PROD013,WH005,54,0,167,True
INV0000244,20241027,PROD086,WH005,568,207,244,True
INV0000245,20241027,PROD037,WH005,752,566,333,False
INV0000246,20241027,PROD049,WH005,1335,1150,212,False
INV0000247,20241027,PROD092,WH005,1009,666,182,False
INV0000248,20241027,PROD042,WH005,54,0,186,True
INV0000249,20241027,PROD072,WH005,116,43,125,True
INV0000250,20241027,PROD010,WH005,72,0,123,True
INV0000251,20241027,PROD001,WH006,743,349,342,False
INV0000252,20241027,PROD009,WH006,912,597,385,False
INV0000253,20241027,PROD053,WH006,815,749,198,False
INV0000254,20241027,PROD096,WH006,1318,824,278,False
INV0000255,20241027,PROD099,WH006,1319,1144,250,False
INV0000256,20241027,PROD060,WH006,1374,1349,194,False
INV0000257,20241027,PROD071,WH006,1320,1002,201,False
INV0000258,20241027,PROD022,WH006,248,0,195,True
INV0000259,20241027,PROD095,WH006,364,0,263,True
INV0000260,20241027,PROD021,WH006,225,0,322,True
INV0000261,20241027,PROD019,WH007,1117,1099,292,False
INV0000262,20241027,PROD100,WH007,1167,872,234,False
INV0000263,20241027,PROD075,WH007,1155,961,280,False
INV0000264,20241027,PROD062,WH007,834,419,311,False
INV0000265,20241027,PROD025,WH007,300,0,208,True
INV0000266,20241027,PROD060,WH007,121,0,335,True
INV0000267,20241027,PROD027,WH007,524,149,245,True
INV0000268,20241027,PROD056,WH007,712,309,131,False
INV0000269,20241027,PROD063,WH007,474,152,207,True
INV0000270,20241027,PROD038,WH007,1145,672,338,False
INV0000271,20241027,PROD030,WH008,352,0,110,True
INV0000272,20241027,PROD083,WH008,1097,713,359,False
INV0000273,20241027,PROD100,WH008,819,504,120,False
INV0000274,20241027,PROD053,WH008,373,301,365,True
INV0000275,20241027,PROD050,WH008,655,286,245,False
INV0000276,20241027,PROD042,WH008,572,236,266,True
INV0000277,20241027,PROD014,WH008,1304,1157,386,False
INV0000278,20241027,PROD024,WH008,846,486,202,False
INV0000279,20241027,PROD017,WH008,890,493,320,False
INV0000280,20241027,PROD048,WH008,740,724,242,False
INV0000281,20241027,PROD005,WH009,1414,1149,131,False
INV0000282,20241027,PROD052,WH009,1263,868,385,False
INV0000283,20241027,PROD054,WH009,1005,740,110,False
INV0000284,20241027,PROD069,WH009,467,0,202,True
INV0000285,20241027,PROD092,WH009,262,97,126,True
INV0000286,20241027,PROD037,WH009,1095,820,192,False
INV0000287,20241027,PROD033,WH009,198,0,209,True
INV0000288,20241027,PROD048,WH009,1373,1100,354,False
INV0000289,20241027,PROD058,WH009,1215,1057,156,False
INV0000290,20241027,PROD032,WH009,1341,1079,273,False
INV0000291,20241027,PROD085,WH010,366,0,371,True
INV0000292,20241027,PROD033,WH010,941,745,268,False
INV0000293,20241027,PROD039,WH010,897,590,109,False
INV0000294,20241027,PROD088,WH010,364,185,308,True
INV0000295,20241027,PROD087,WH010,743,493,208,False
INV0000296,20241027,PROD037,WH010,180,0,175,True
INV0000297,20241027,PROD022,WH010,1093,784,203,False
INV0000298,20241027,PROD013,WH010,382,0,187,True
INV0000299,20241027,PROD026,WH010,1242,1097,143,False
INV0000300,20241027,PROD092,WH010,1341,1151,305,False
INV0000301,20250401,PROD051,WH001,631,325,245,False
INV0000302,20250401,PROD062,WH001,1235,928,297,False
INV0000303,20250401,PROD016,WH001,940,900,354,False
INV0000304,20250401,PROD004,WH001,1328,1008,305,False
INV0000305,20250401,PROD014,WH001,709,293,121,False
INV0000306,20250401,PROD065,WH001,117,0,288,True
INV0000307,20250401,PROD081,WH001,1166,1082,204,False
INV0000308,20250401,PROD032,WH001,954,666,398,False
INV0000309,20250401,PROD049,WH001,946,592,152,False
INV0000310,20250401,PROD096,WH001,1197,1101,154,False
INV0000311,20250401,PROD049,WH002,156,98,290,True
INV0000312,20250401,PROD050,WH002,1291,1183,201,False
INV0000313,20250401,PROD082,WH002,1200,1136,198,False
INV0000314,20250401,PROD005,WH002,163,0,237,True
INV0000315,20250401,PROD088,WH002,1202,932,176,False
INV0000316,20250401,PROD076,WH002,384,23,175,True
INV0000317,20250401,PROD055,WH002,1114,925,252,False
INV0000318,20250401,PROD065,WH002,700,331,199,False
INV0000319,20250401,PROD031,WH002,756,383,328,False
INV0000320,20250401,PROD093,WH002,1414,1016,385,False
INV0000321,20250401,PROD076,WH003,684,408,139,False
INV0000322,20250401,PROD007,WH003,1008,841,191,False
INV0000323,20250401,PROD013,WH003,469,359,238,False
INV0000324,20250401,PROD033,WH003,754,434,184,False
INV0000325,20250401,PROD085,WH003,203,0,223,True
INV0000326,20250401,PROD064,WH003,766,485,247,False
INV0000327,20250401,PROD002,WH003,1432,1302,112,False
INV0000328,20250401,PROD053,WH003,998,657,183,False
INV0000329,20250401,PROD091,WH003,1345,1003,355,False
INV0000330,20250401,PROD069,WH003,887,627,171,False
INV0000331,20250401,PROD066,WH004,104,0,214,True
INV0000332,20250401,PROD031,WH004,760,610,335,False
INV0000333,20250401,PROD078,WH004,613,356,259,False
INV0000334,20250401,PROD006,WH004,264,58,319,True
INV0000335,20250401,PROD028,WH004,925,766,152,False
INV0000336,20250401,PROD018,WH004,443,0,237,True
INV0000337,20250401,PROD093,WH004,917,789,348,False
INV0000338,20250401,PROD025,WH004,274,0,138,True
INV0000339,20250401,PROD058,WH004,960,760,392,False
INV0000340,20250401,PROD033,WH004,960,691,234,False
INV0000341,20250401,PROD088,WH005,997,957,318,False
INV0000342,20250401,PROD026,WH005,769,539,162,False
INV0000343,20250401,PROD044,WH005,1210,897,120,False
INV0000344,20250401,PROD027,WH005,410,335,396,True
INV0000345,20250401,PROD080,WH005,65,0,386,True
INV0000346,20250401,PROD036,WH005,446,0,241,True
INV0000347,20250401,PROD066,WH005,915,492,391,False
INV0000348,20250401,PROD018,WH005,1323,1239,213,False
INV0000349,20250401,PROD033,WH005,294,0,145,True
INV0000350,20250401,PROD051,WH005,1421,1372,167,False
INV0000351,20250401,PROD098,WH006,193,0,162,True
INV0000352,20250401,PROD052,WH006,915,521,328,False
INV0000353,20250401,PROD058,WH006,903,787,190,False
INV0000354,20250401,PROD072,WH006,1166,956,150,False
INV0000355,20250401,PROD064,WH006,525,43,317,True
INV0000356,20250401,PROD017,WH006,874,378,180,False
INV0000357,20250401,PROD083,WH006,694,582,305,False
INV0000358,20250401,PROD075,WH006,679,537,395,False
INV0000359,20250401,PROD059,WH006,1274,1101,126,False
INV0000360,20250401,PROD035,WH006,1280,830,318,False
INV0000361,20250401,PROD016,WH007,1188,786,327,False
INV0000362,20250401,PROD072,WH007,673,331,336,True
INV0000363,20250401,PROD026,WH007,1245,860,372,False
INV0000364,20250401,PROD094,WH007,945,661,158,False
INV0000365,20250401,PROD045,WH007,52,0,273,True
INV0000366,20250401,PROD024,WH007,240,0,374,True
INV0000367,20250401,PROD047,WH007,582,566,381,False
INV0000368,20250401,PROD081,WH007,1400,1113,124,False
INV0000369,20250401,PROD035,WH007,1452,1158,247,False
INV0000370,20250401,PROD027,WH007,1426,1376,305,False
INV0000371,20250401,PROD078,WH008,1060,617,184,False
INV0000372,20250401,PROD041,WH008,174,0,104,True
INV0000373,20250401,PROD066,WH008,1322,1168,334,False
INV0000374,20250401,PROD060,WH008,951,694,289,False
INV0000375,20250401,PROD001,WH008,466,142,126,False
INV0000376,20250401,PROD075,WH008,313,43,342,True
INV0000377,20250401,PROD096,WH008,794,621,121,False
INV0000378,20250401,PROD077,WH008,1019,960,241,False
INV0000379,20250401,PROD071,WH008,795,541,293,False
INV0000380,20250401,PROD013,WH008,1029,671,227,False
INV0000381,20250401,PROD004,WH009,227,0,374,True
INV0000382,20250401,PROD093,WH009,841,753,226,False
INV0000383,20250401,PROD079,WH009,1136,793,168,False
INV0000384,20250401,PROD017,WH009,1323,1205,355,False
INV0000385,20250401,PROD060,WH009,52,0,209,True
INV0000386,20250401,PROD015,WH009,394,65,215,True
INV0000387,20250401,PROD067,WH009,1358,943,352,False
INV0000388,20250401,PROD089,WH009,961,467,291,False
INV0000389,20250401,PROD098,WH009,886,709,342,False
INV0000390,20250401,PROD084,WH009,784,410,166,False
INV0000391,20250401,PROD001,WH010,127,0,211,True
INV0000392,20250401,PROD079,WH010,203,0,106,True
INV0000393,20250401,PROD094,WH010,1108,966,358,False
INV0000394,20250401,PROD036,WH010,855,760,246,False
INV0000395,20250401,PROD045,WH010,1427,1151,282,False
INV0000396,20250401,PROD046,WH010,1372,1228,355,False
INV0000397,20250401,PROD011,WH010,304,0,366,True
INV0000398,20250401,PROD064,WH010,1390,1298,171,False
INV0000399,20250401,PROD024,WH010,75,0,184,True
INV0000400,20250401,PROD032,WH010,1222,907,343,False
INV0000401,20250925,PROD047,WH001,1292,981,227,False
INV0000402,20250925,PROD029,WH001,169,0,226,True
INV0000403,20250925,PROD088,WH001,472,285,299,True
INV0000404,20250925,PROD063,WH001,1384,1317,187,False
INV0000405,20250925,PROD089,WH001,760,527,156,False
INV0000406,20250925,PROD003,WH001,1481,1456,151,False
INV0000407,20250925,PROD079,WH001,1226,854,365,False
INV0000408,20250925,PROD033,WH001,273,180,361,True
INV0000409,20250925,PROD040,WH001,1226,1124,393,False
INV0000410,20250925,PROD041,WH001,525,42,129,True
INV0000411,20250925,PROD021,WH002,263,0,293,True
INV0000412,20250925,PROD045,WH002,154,0,158,True
INV0000413,20250925,PROD026,WH002,470,337,169,False
INV0000414,20250925,PROD082,WH002,381,0,210,True
INV0000415,20250925,PROD091,WH002,1352,1155,191,False
INV0000416,20250925,PROD022,WH002,1394,1151,277,False
INV0000417,20250925,PROD068,WH002,1262,1186,355,False
INV0000418,20250925,PROD038,WH002,1351,987,264,False
INV0000419,20250925,PROD088,WH002,1457,1099,177,False
INV0000420,20250925,PROD072,WH002,718,486,147,False
INV0000421,20250925,PROD064,WH003,1036,849,334,False
INV0000422,20250925,PROD096,WH003,693,494,333,False
INV0000423,20250925,PROD088,WH003,1375,1337,311,False
INV0000424,20250925,PROD090,WH003,1196,981,281,False
INV0000425,20250925,PROD082,WH003,1128,1051,241,False
INV0000426,20250925,PROD084,WH003,790,551,229,False
INV0000427,20250925,PROD032,WH003,832,783,297,False
INV0000428,20250925,PROD094,WH003,429,362,170,False
INV0000429,20250925,PROD076,WH003,54,28,148,True
INV0000430,20250925,PROD069,WH003,233,0,250,True
INV0000431,20250925,PROD088,WH004,701,544,399,False
INV0000432,20250925,PROD090,WH004,1237,999,266,False
INV0000433,20250925,PROD036,WH004,1282,1166,339,False
INV0000434,20250925,PROD093,WH004,1188,798,210,False
INV0000435,20250925,PROD064,WH004,340,0,375,True
INV0000436,20250925,PROD026,WH004,753,527,125,False
INV0000437,20250925,PROD069,WH004,1419,981,165,False
INV0000438,20250925,PROD020,WH004,418,19,165,True
INV0000439,20250925,PROD098,WH004,994,495,110,False
INV0000440,20250925,PROD037,WH004,1072,725,147,False
INV0000441,20250925,PROD046,WH005,813,330,217,False
INV0000442,20250925,PROD022,WH005,1125,681,104,False
INV0000443,20250925,PROD045,WH005,1198,1078,111,False
INV0000444,20250925,PROD008,WH005,695,282,100,False
INV0000445,20250925,PROD095,WH005,772,741,136,False
INV0000446,20250925,PROD063,WH005,101,0,386,True
INV0000447,20250925,PROD004,WH005,419,0,267,True
INV0000448,20250925,PROD042,WH005,720,266,326,True
INV0000449,20250925,PROD076,WH005,1446,1397,180,False
INV0000450,20250925,PROD062,WH005,1410,1358,167,False
INV0000451,20250925,PROD078,WH006,983,794,298,False
INV0000452,20250925,PROD023,WH006,627,411,342,False
INV0000453,20250925,PROD072,WH006,1331,1295,198,False
INV0000454,20250925,PROD070,WH006,904,759,127,False
INV0000455,20250925,PROD014,WH006,973,773,285,False
INV0000456,20250925,PROD093,WH006,682,661,352,False
INV0000457,20250925,PROD022,WH006,1095,773,159,False
INV0000458,20250925,PROD024,WH006,760,542,216,False
INV0000459,20250925,PROD048,WH006,1268,1060,276,False
INV0000460,20250925,PROD041,WH006,531,350,380,True
INV0000461,20250925,PROD018,WH007,1361,990,280,False
INV0000462,20250925,PROD085,WH007,83,0,385,True
INV0000463,20250925,PROD059,WH007,927,464,177,False
INV0000464,20250925,PROD031,WH007,1311,843,205,False
INV0000465,20250925,PROD054,WH007,1409,1210,330,False
INV0000466,20250925,PROD014,WH007,830,718,152,False
INV0000467,20250925,PROD010,WH007,1162,845,311,False
INV0000468,20250925,PROD074,WH007,59,0,298,True
INV0000469,20250925,PROD043,WH007,790,516,347,False
INV0000470,20250925,PROD077,WH007,794,390,241,False
INV0000471,20250925,PROD010,WH008,1141,869,364,False
INV0000472,20250925,PROD044,WH008,862,385,285,False
INV0000473,20250925,PROD092,WH008,1001,828,100,False
INV0000474,20250925,PROD093,WH008,464,0,210,True
INV0000475,20250925,PROD074,WH008,415,0,191,True
INV0000476,20250925,PROD042,WH008,735,703,252,False
INV0000477,20250925,PROD073,WH008,1086,923,383,False
INV0000478,20250925,PROD016,WH008,83,0,102,True
INV0000479,20250925,PROD071,WH008,422,0,143,True
INV0000480,20250925,PROD035,WH008,583,463,193,False
INV0000481,20250925,PROD086,WH009,111,0,261,True
INV0000482,20250925,PROD002,WH009,110,0,119,True
INV0000483,20250925,PROD100,WH009,92,0,365,True
INV0000484,20250925,PROD065,WH009,722,593,245,False
INV0000485,20250925,PROD045,WH009,791,569,320,False
INV0000486,20250925,PROD021,WH009,493,0,214,True
INV0000487,20250925,PROD058,WH009,1240,983,264,False
INV0000488,20250925,PROD005,WH009,1472,1376,277,False
INV0000489,20250925,PROD038,WH009,807,400,266,False
INV0000490,20250925,PROD094,WH009,903,417,351,False
INV0000491,20250925,PROD065,WH010,1052,565,298,False
INV0000492,20250925,PROD033,WH010,1332,1127,327,False
INV0000493,20250925,PROD076,WH010,207,159,271,True
INV0000494,20250925,PROD017,WH010,101,0,172,True
INV0000495,20250925,PROD070,WH010,1426,1244,180,False
INV0000496,20250925,PROD053,WH010,947,883,134,False
INV0000497,20250925,PROD099,WH010,1163,835,167,False
INV0000498,20250925,PROD030,WH010,1475,1081,129,False
INV0000499,20250925,PROD098,WH010,284,0,219,True
INV0000500,20250925,PROD050,WH010,457,255,240,False
INV0000501,20250711,PROD004,WH001,1089,996,320,False
INV0000502,20250711,PROD100,WH001,921,562,248,False
INV0000503,20250711,PROD040,WH001,669,391,365,False
INV0000504,20250711,PROD028,WH001,76,5,243,True
