product_id,product_name,category,subcategory,unit_cost,unit_price,supplier_id
PROD048,Writing Product 48,Office Supplies,Writing,132.1,253.35,SUP021
PROD049,Cleaning Product 49,Health & Personal Care,Cleaning,94.09,204.48,SUP007
PROD050,Storage Product 50,Home Goods,Storage,240.8,358.6,SUP025
PROD051,Furniture Product 51,Home Goods,Furniture,126.83,194.79,SUP025
PROD052,Personal Care Product 52,Health & Personal Care,Personal Care,74.79,96.11,SUP020
PROD053,Beverages Product 53,Grocery,Beverages,154.34,266.63,SUP001
PROD054,Computer Accessories Product 54,Electronics,Computer Accessories,17.61,26.67,SUP010
PROD055,Kitchen Product 55,Home Goods,Kitchen,227.53,336.19,SUP008
PROD056,Personal Care Product 56,Health & Personal Care,Personal Care,40.5,69.46,SUP003
PROD057,Writing Product 57,Office Supplies,Writing,246.48,364.78,SUP003
PROD058,Personal Care Product 58,Health & Personal Care,Personal Care,169.67,334.85,SUP005
PROD059,Writing Product 59,Office Supplies,Writing,63.22,122.76,SUP018
PROD060,Storage Product 60,Home Goods,Storage,95.11,176.02,SUP017
PROD061,Wellness Product 61,Health & Personal Care,Wellness,160.21,281.81,SUP007
PROD062,Cleaning Product 62,Health & Personal Care,Cleaning,27.12,55.42,SUP023
PROD063,Furniture Product 63,Home Goods,Furniture,83.59,119.3,SUP010
PROD064,Footwear Product 64,Apparel,Footwear,14.99,27.15,SUP021
PROD065,Beverages Product 65,Grocery,Beverages,171.0,216.44,SUP017
PROD066,Men Product 66,Apparel,Men,130.46,191.15,SUP008
PROD067,Kitchen Product 67,Home Goods,Kitchen,163.07,230.85,SUP011
PROD068,Smart Devices Product 68,Electronics,Smart Devices,174.28,281.88,SUP018
PROD069,Furniture Product 69,Home Goods,Furniture,234.5,323.76,SUP008
PROD070,Mobile Accessories Product 70,Electronics,Mobile Accessories,88.56,120.25,SUP023
PROD071,Paper Product 71,Office Supplies,Paper,231.55,482.43,SUP008
PROD072,Mobile Accessories Product 72,Electronics,Mobile Accessories,68.2,128.01,SUP011
PROD073,Smart Devices Product 73,Electronics,Smart Devices,205.22,364.77,SUP008
PROD074,Snacks Product 74,Grocery,Snacks,134.76,199.41,SUP016
PROD075,Furniture Product 75,Home Goods,Furniture,27.81,58.47,SUP005
PROD076,Desk Accessories Product 76,Office Supplies,Desk Accessories,225.6,417.69,SUP019
PROD077,Men Product 77,Apparel,Men,88.06,139.29,SUP016
PROD078,Men Product 78,Apparel,Men,182.86,384.42,SUP004
PROD079,Smart Devices Product 79,Electronics,Smart Devices,222.34,442.65,SUP014
PROD080,Beverages Product 80,Grocery,Beverages,162.3,215.85,SUP014
PROD081,Footwear Product 81,Apparel,Footwear,44.6,93.82,SUP002
PROD082,Desk Accessories Product 82,Office Supplies,Desk Accessories,153.58,193.32,SUP021
PROD083,Mobile Accessories Product 83,Electronics,Mobile Accessories,29.86,56.15,SUP013
PROD084,Writing Product 84,Office Supplies,Writing,6.24,8.75,SUP004
PROD085,Kitchen Product 85,Home Goods,Kitchen,139.44,265.95,SUP007
PROD086,Wellness Product 86,Health & Personal Care,Wellness,164.73,241.01,SUP005
PROD087,Men Product 87,Apparel,Men,179.48,264.8,SUP009
PROD088,Men Product 88,Apparel,Men,84.72,165.98,SUP003
PROD089,Footwear Product 89,Apparel,Footwear,164.16,337.64,SUP004
PROD090,Smart Devices Product 90,Electronics,Smart Devices,166.12,297.34,SUP018
PROD091,Mobile Accessories Product 91,Electronics,Mobile Accessories,27.95,44.7,SUP025
PROD092,Kitchen Product 92,Home Goods,Kitchen,69.97,103.68,SUP014
PROD093,Women Product 93,Apparel,Women,243.39,395.13,SUP007
PROD094,Men Product 94,Apparel,Men,223.55,413.47,SUP006
PROD095,Men Product 95,Apparel,Men,199.73,345.03,SUP013
PROD096,Beverages Product 96,Grocery,Beverages,146.34,251.4,SUP010
PROD097,Footwear Product 97,Apparel,Footwear,52.83,102.3,SUP024
PROD098,Cleaning Product 98,Health & Personal Care,Cleaning,73.79,93.94,SUP023
PROD099,Men Product 99,Apparel,Men,163.14,231.37,SUP007
PROD100,Packaged Food Product 100,Grocery,Packaged Food,235.41,507.6,SUP002
