shipment_id,order_id,carrier,shipping_method,shipping_cost,delay_days,delay_reason
SHP000041,ORD000041,FedEx,Standard,15.04,0,No Delay
SHP000042,ORD000042,Regional Carrier,Standard,11.61,0,No Delay
SHP000043,ORD000043,DHL,Standard,23.78,5,System Issue
SHP000044,ORD000044,USPS,Expedited,20.84,0,No Delay
SHP000045,ORD000045,USPS,Standard,31.16,8,Inventory Shortage
SHP000046,ORD000046,Regional Carrier,Expedited,20.66,0,No Delay
SHP000047,ORD000047,USPS,Expedited,36.35,8,Supplier Delay
SHP000048,ORD000048,FedEx,Standard,8.51,0,No Delay
SHP000049,ORD000049,UPS,Standard,16.33,0,No Delay
SHP000050,ORD000050,DHL,Standard,15.26,0,No Delay
SHP000051,ORD000051,DHL,Standard,11.2,0,No Delay
SHP000052,ORD000052,DHL,Expedited,30.13,0,No Delay
SHP000053,ORD000053,UPS,Standard,11.56,0,No Delay
SHP000054,ORD000054,UPS,Expedited,29.74,0,No Delay
SHP000055,ORD000055,Regional Carrier,Standard,17.89,0,No Delay
SHP000056,ORD000056,UPS,Priority,36.56,0,No Delay
SHP000057,ORD000057,Regional Carrier,Standard,12.28,0,No Delay
SHP000058,ORD000058,DHL,Priority,41.13,5,Labor Constraint
SHP000059,ORD000059,Regional Carrier,Standard,29.53,7,Labor Constraint
SHP000060,ORD000060,UPS,Standard,16.6,0,No Delay
SHP000061,ORD000061,USPS,Expedited,32.69,0,No Delay
SHP000062,ORD000062,UPS,Expedited,16.53,0,No Delay
SHP000063,ORD000063,USPS,Expedited,32.81,0,No Delay
SHP000064,ORD000064,FedEx,Standard,7.98,0,No Delay
SHP000065,ORD000065,DHL,Standard,16.3,0,No Delay
SHP000066,ORD000066,Regional Carrier,Standard,11.24,0,No Delay
SHP000067,ORD000067,Regional Carrier,Priority,40.95,0,No Delay
SHP000068,ORD000068,UPS,Standard,8.75,0,No Delay
SHP000069,ORD000069,Regional Carrier,Standard,6.84,0,No Delay
SHP000070,ORD000070,USPS,Standard,13.65,0,No Delay
SHP000071,ORD000071,FedEx,Standard,15.32,0,No Delay
SHP000072,ORD000072,FedEx,Standard,7.05,0,No Delay
SHP000073,ORD000073,Regional Carrier,Standard,12.06,0,No Delay
SHP000074,ORD000074,DHL,Expedited,27.99,0,No Delay
SHP000075,ORD000075,FedEx,Standard,10.76,0,No Delay
SHP000076,ORD000076,UPS,Priority,31.77,0,No Delay
SHP000077,ORD000077,FedEx,Standard,6.03,0,No Delay
SHP000078,ORD000078,USPS,Standard,11.74,0,No Delay
SHP000079,ORD000079,USPS,Priority,53.77,0,No Delay
SHP000080,ORD000080,FedEx,Standard,12.98,0,No Delay
SHP000081,ORD000081,UPS,Standard,6.41,0,No Delay
SHP000082,ORD000082,FedEx,Standard,15.16,0,No Delay
SHP000084,ORD000084,DHL,Expedited,18.85,0,No Delay
SHP000085,ORD000085,DHL,Standard,14.43,0,No Delay
SHP000086,ORD000086,DHL,Expedited,19.13,0,No Delay
SHP000087,ORD000087,DHL,Priority,34.53,0,No Delay
SHP000088,ORD000088,Regional Carrier,Priority,52.68,0,No Delay
SHP000089,ORD000089,DHL,Standard,16.46,0,No Delay
SHP000090,ORD000090,FedEx,Standard,9.23,0,No Delay
SHP000091,ORD000091,DHL,Standard,19.32,4,Weather
SHP000092,ORD000092,DHL,Standard,7.6,0,No Delay
SHP000093,ORD000093,UPS,Expedited,45.46,6,Inventory Shortage
SHP000094,ORD000094,DHL,Standard,7.03,0,No Delay
SHP000095,ORD000095,FedEx,Expedited,17.26,1,System Issue
SHP000096,ORD000096,DHL,Standard,15.28,0,No Delay
SHP000098,ORD000098,DHL,Standard,16.26,0,No Delay
SHP000100,ORD000100,DHL,Standard,17.1,3,Labor Constraint
SHP000101,ORD000101,UPS,Standard,14.44,0,No Delay
SHP000102,ORD000102,UPS,Standard,10.24,0,No Delay
SHP000103,ORD000103,FedEx,Standard,16.91,0,No Delay
SHP000104,ORD000104,UPS,Standard,6.72,0,No Delay
SHP000105,ORD000105,DHL,Standard,8.28,0,No Delay
SHP000106,ORD000106,DHL,Standard,15.05,5,Inventory Shortage
SHP000107,ORD000107,FedEx,Standard,13.4,0,No Delay
SHP000108,ORD000108,FedEx,Expedited,30.16,0,No Delay
SHP000109,ORD000109,FedEx,Priority,40.23,0,No Delay
SHP000110,ORD000110,UPS,Expedited,25.8,0,No Delay
SHP000111,ORD000111,DHL,Expedited,33.55,0,No Delay
SHP000112,ORD000112,Regional Carrier,Standard,9.27,0,No Delay
SHP000113,ORD000113,USPS,Standard,15.5,4,System Issue
SHP000114,ORD000114,USPS,Standard,7.49,0,No Delay
SHP000115,ORD000115,UPS,Standard,13.41,0,No Delay
SHP000116,ORD000116,UPS,Priority,35.41,0,No Delay
SHP000117,ORD000117,DHL,Standard,10.52,0,No Delay
SHP000118,ORD000118,DHL,Standard,14.57,0,No Delay
SHP000119,ORD000119,USPS,Standard,15.17,0,No Delay
SHP000120,ORD000120,Regional Carrier,Expedited,24.08,0,No Delay
SHP000121,ORD000121,USPS,Priority,52.58,0,No Delay
SHP000122,ORD000122,Regional Carrier,Standard,9.31,0,No Delay
SHP000123,ORD000123,FedEx,Standard,26.22,5,Supplier Delay
SHP000124,ORD000124,FedEx,Standard,11.54,0,No Delay
SHP000125,ORD000125,DHL,Standard,17.94,0,No Delay
SHP000126,ORD000126,DHL,Standard,8.06,0,No Delay
SHP000127,ORD000127,FedEx,Standard,17.16,0,No Delay
SHP000128,ORD000128,DHL,Standard,13.18,0,No Delay
SHP000129,ORD000129,USPS,Standard,13.98,0,No Delay
SHP000130,ORD000130,Regional Carrier,Standard,7.58,0,No Delay
SHP000131,ORD000131,Regional Carrier,Standard,11.89,0,No Delay
SHP000132,ORD000132,DHL,Expedited,19.54,0,No Delay
SHP000133,ORD000133,UPS,Standard,10.82,0,No Delay
SHP000134,ORD000134,Regional Carrier,Standard,15.35,0,No Delay
SHP000135,ORD000135,UPS,Standard,14.55,0,No Delay
SHP000136,ORD000136,Regional Carrier,Priority,45.55,0,No Delay
SHP000137,ORD000137,UPS,Priority,45.83,0,No Delay
SHP000138,ORD000138,Regional Carrier,Expedited,27.36,0,No Delay
SHP000139,ORD000139,Regional Carrier,Expedited,39.21,7,Carrier Delay
SHP000140,ORD000140,DHL,Standard,14.64,0,No Delay
SHP000141,ORD000141,UPS,Standard,6.66,0,No Delay
SHP000142,ORD000142,Regional Carrier,Standard,13.08,0,No Delay
SHP000143,ORD000143,FedEx,Expedited,23.53,2,Weather
SHP000144,ORD000144,UPS,Standard,15.74,0,No Delay
SHP000145,ORD000145,USPS,Expedited,15.81,0,No Delay
SHP000146,ORD000146,DHL,Priority,44.43,0,No Delay
SHP000147,ORD000147,FedEx,Standard,10.89,0,No Delay
SHP000148,ORD000148,USPS,Standard,6.45,0,No Delay
SHP000149,ORD000149,USPS,Standard,14.49,0,No Delay
SHP000150,ORD000150,UPS,Expedited,30.94,0,No Delay
SHP000151,ORD000151,USPS,Standard,12.09,0,No Delay
SHP000152,ORD000152,Regional Carrier,Standard,7.24,0,No Delay
SHP000153,ORD000153,Regional Carrier,Priority,41.56,0,No Delay
SHP000154,ORD000154,FedEx,Expedited,19.69,0,No Delay
SHP000155,ORD000155,Regional Carrier,Standard,14.36,0,No Delay
SHP000156,ORD000156,Regional Carrier,Standard,12.95,0,No Delay
SHP000157,ORD000157,FedEx,Expedited,22.75,0,No Delay
SHP000158,ORD000158,FedEx,Standard,14.94,0,No Delay
SHP000159,ORD000159,Regional Carrier,Standard,9.17,0,No Delay
SHP000160,ORD000160,FedEx,Standard,8.14,0,No Delay
SHP000161,ORD000161,FedEx,Standard,14.42,0,No Delay
SHP000162,ORD000162,USPS,Expedited,33.94,0,No Delay
SHP000163,ORD000163,USPS,Expedited,16.63,0,No Delay
SHP000164,ORD000164,UPS,Expedited,26.04,0,No Delay
SHP000165,ORD000165,USPS,Standard,11.66,0,No Delay
SHP000166,ORD000166,UPS,Expedited,18.44,0,No Delay
SHP000167,ORD000167,USPS,Standard,14.45,0,No Delay
SHP000168,ORD000168,Regional Carrier,Expedited,29.48,0,No Delay
SHP000169,ORD000169,Regional Carrier,Standard,7.91,0,No Delay
SHP000170,ORD000170,UPS,Standard,16.88,0,No Delay
SHP000171,ORD000171,FedEx,Expedited,16.52,0,No Delay
SHP000172,ORD000172,FedEx,Priority,47.99,0,No Delay
SHP000173,ORD000173,FedEx,Standard,13.03,0,No Delay
SHP000174,ORD000174,FedEx,Standard,6.34,0,No Delay
SHP000175,ORD000175,Regional Carrier,Standard,16.87,0,No Delay
SHP000176,ORD000176,Regional Carrier,Standard,29.47,7,Inventory Shortage
SHP000177,ORD000177,DHL,Priority,33.89,0,No Delay
SHP000178,ORD000178,FedEx,Standard,10.47,0,No Delay
SHP000179,ORD000179,Regional Carrier,Expedited,28.35,0,No Delay
SHP000181,ORD000181,UPS,Standard,10.88,0,No Delay
SHP000182,ORD000182,USPS,Priority,26.68,0,No Delay
SHP000183,ORD000183,Regional Carrier,Standard,16.44,0,No Delay
SHP000184,ORD000184,DHL,Standard,12.31,0,No Delay
SHP000185,ORD000185,FedEx,Standard,15.21,0,No Delay
SHP000186,ORD000186,UPS,Standard,16.71,0,No Delay
SHP000187,ORD000187,DHL,Standard,15.28,0,No Delay
SHP000188,ORD000188,Regional Carrier,Standard,11.32,2,System Issue
SHP000189,ORD000189,UPS,Standard,8.14,0,No Delay
SHP000190,ORD000190,USPS,Standard,11.92,0,No Delay
SHP000191,ORD000191,DHL,Standard,14.06,2,Carrier Delay
SHP000192,ORD000192,Regional Carrier,Standard,13.21,0,No Delay
SHP000193,ORD000193,UPS,Standard,13.67,0,No Delay
SHP000194,ORD000194,Regional Carrier,Standard,17.98,6,Supplier Delay
SHP000195,ORD000195,DHL,Priority,46.67,0,No Delay
SHP000196,ORD000196,DHL,Expedited,18.26,0,No Delay
SHP000197,ORD000197,USPS,Standard,6.73,0,No Delay
SHP000198,ORD000198,DHL,Standard,11.15,0,No Delay
SHP000199,ORD000199,UPS,Standard,13.22,0,No Delay
SHP000200,ORD000200,Regional Carrier,Standard,8.97,0,No Delay
SHP000201,ORD000201,Regional Carrier,Standard,15.43,0,No Delay
SHP000202,ORD000202,DHL,Priority,42.99,0,No Delay
SHP000203,ORD000203,DHL,Expedited,32.7,0,No Delay
SHP000204,ORD000204,Regional Carrier,Expedited,18.59,0,No Delay
SHP000205,ORD000205,Regional Carrier,Expedited,32.89,0,No Delay
SHP000206,ORD000206,USPS,Standard,14.65,0,No Delay
SHP000207,ORD000207,Regional Carrier,Standard,11.22,0,No Delay
SHP000208,ORD000208,FedEx,Expedited,31.84,0,No Delay
SHP000209,ORD000209,DHL,Standard,12.9,0,No Delay
SHP000210,ORD000210,Regional Carrier,Standard,7.7,0,No Delay
SHP000211,ORD000211,FedEx,Standard,12.58,0,No Delay
SHP000212,ORD000212,FedEx,Standard,14.47,0,No Delay
SHP000213,ORD000213,Regional Carrier,Expedited,15.33,0,No Delay
SHP000214,ORD000214,FedEx,Standard,7.47,0,No Delay
SHP000215,ORD000215,USPS,Expedited,25.77,4,Labor Constraint
SHP000216,ORD000216,DHL,Standard,12.78,0,No Delay
SHP000218,ORD000218,DHL,Standard,15.0,0,No Delay
SHP000219,ORD000219,USPS,Standard,13.87,0,No Delay
SHP000220,ORD000220,UPS,Standard,9.97,0,No Delay
SHP000221,ORD000221,USPS,Standard,14.25,0,No Delay
SHP000222,ORD000222,DHL,Priority,30.14,0,No Delay
SHP000223,ORD000223,FedEx,Priority,38.28,0,No Delay
SHP000224,ORD000224,Regional Carrier,Standard,15.37,0,No Delay
SHP000225,ORD000225,Regional Carrier,Standard,12.59,0,No Delay
SHP000226,ORD000226,USPS,Standard,8.9,0,No Delay
SHP000227,ORD000227,USPS,Standard,7.84,0,No Delay
SHP000228,ORD000228,DHL,Standard,6.52,0,No Delay
SHP000229,ORD000229,DHL,Standard,16.13,0,No Delay
SHP000230,ORD000230,DHL,Standard,9.43,0,No Delay
SHP000231,ORD000231,DHL,Expedited,17.19,0,No Delay
SHP000232,ORD000232,UPS,Standard,24.78,6,Supplier Delay
SHP000233,ORD000233,USPS,Standard,16.42,0,No Delay
SHP000234,ORD000234,USPS,Expedited,27.85,3,Supplier Delay
SHP000235,ORD000235,FedEx,Standard,11.3,0,No Delay
SHP000236,ORD000236,FedEx,Standard,6.73,0,No Delay
SHP000237,ORD000237,USPS,Standard,14.88,0,No Delay
SHP000238,ORD000238,USPS,Expedited,17.53,0,No Delay
SHP000240,ORD000240,FedEx,Expedited,18.28,0,No Delay
SHP000241,ORD000241,FedEx,Standard,13.04,0,No Delay
SHP000242,ORD000242,USPS,Expedited,18.89,0,No Delay
SHP000243,ORD000243,USPS,Standard,7.36,0,No Delay
SHP000244,ORD000244,FedEx,Expedited,25.24,0,No Delay
SHP000245,ORD000245,FedEx,Standard,7.69,0,No Delay
SHP000246,ORD000246,Regional Carrier,Expedited,27.85,0,No Delay
SHP000247,ORD000247,FedEx,Standard,10.72,0,No Delay
SHP000248,ORD000248,UPS,Standard,8.33,0,No Delay
SHP000249,ORD000249,UPS,Expedited,15.36,0,No Delay
SHP000250,ORD000250,DHL,Standard,17.84,1,Labor Constraint
SHP000252,ORD000252,USPS,Standard,12.03,0,No Delay
SHP000253,ORD000253,USPS,Priority,26.04,0,No Delay
SHP000254,ORD000254,Regional Carrier,Standard,26.65,8,Labor Constraint
SHP000255,ORD000255,FedEx,Standard,13.39,3,System Issue
SHP000256,ORD000256,UPS,Standard,14.64,0,No Delay
SHP000257,ORD000257,Regional Carrier,Expedited,39.78,7,Carrier Delay
SHP000258,ORD000258,USPS,Expedited,25.69,0,No Delay
SHP000259,ORD000259,FedEx,Standard,6.39,0,No Delay
SHP000261,ORD000261,Regional Carrier,Standard,14.55,0,No Delay
SHP000262,ORD000262,USPS,Expedited,21.3,0,No Delay
SHP000263,ORD000263,UPS,Standard,9.54,0,No Delay
SHP000264,ORD000264,USPS,Standard,13.19,0,No Delay
SHP000265,ORD000265,USPS,Standard,8.79,0,No Delay
SHP000266,ORD000266,Regional Carrier,Expedited,23.96,0,No Delay
SHP000267,ORD000267,USPS,Expedited,41.45,5,Weather
SHP000268,ORD000268,USPS,Standard,11.65,0,No Delay
SHP000269,ORD000269,Regional Carrier,Standard,10.45,0,No Delay
SHP000270,ORD000270,DHL,Priority,53.66,0,No Delay
SHP000271,ORD000271,FedEx,Standard,10.87,0,No Delay
SHP000272,ORD000272,UPS,Standard,21.87,3,Supplier Delay
SHP000273,ORD000273,UPS,Standard,17.36,0,No Delay
SHP000274,ORD000274,FedEx,Standard,8.26,0,No Delay
SHP000275,ORD000275,DHL,Standard,13.33,0,No Delay
SHP000276,ORD000276,USPS,Expedited,24.06,0,No Delay
SHP000277,ORD000277,FedEx,Standard,16.03,0,No Delay
SHP000278,ORD000278,FedEx,Standard,8.36,0,No Delay
SHP000279,ORD000279,Regional Carrier,Standard,9.96,0,No Delay
SHP000280,ORD000280,UPS,Priority,54.17,0,No Delay
SHP000281,ORD000281,DHL,Expedited,41.21,4,Carrier Delay
SHP000282,ORD000282,Regional Carrier,Standard,17.89,0,No Delay
SHP000283,ORD000283,DHL,Standard,7.97,0,No Delay
SHP000284,ORD000284,USPS,Expedited,22.89,0,No Delay
SHP000285,ORD000285,UPS,Standard,10.89,0,No Delay
SHP000286,ORD000286,USPS,Standard,11.7,0,No Delay
SHP000287,ORD000287,FedEx,Standard,18.96,4,Inventory Shortage
SHP000288,ORD000288,DHL,Standard,15.2,0,No Delay
SHP000289,ORD000289,DHL,Standard,10.72,0,No Delay
SHP000290,ORD000290,USPS,Priority,44.81,0,No Delay
SHP000291,ORD000291,DHL,Standard,6.62,0,No Delay
SHP000292,ORD000292,FedEx,Standard,9.27,0,No Delay
SHP000293,ORD000293,Regional Carrier,Standard,11.94,0,No Delay
SHP000294,ORD000294,Regional Carrier,Expedited,34.09,0,No Delay
SHP000295,ORD000295,FedEx,Standard,10.33,0,No Delay
SHP000296,ORD000296,Regional Carrier,Standard,7.44,0,No Delay
SHP000297,ORD000297,FedEx,Standard,8.63,0,No Delay
SHP000298,ORD000298,DHL,Standard,16.73,0,No Delay
SHP000299,ORD000299,USPS,Expedited,34.27,0,No Delay
SHP000300,ORD000300,DHL,Standard,6.36,0,No Delay
SHP000301,ORD000301,UPS,Standard,12.58,0,No Delay
SHP000302,ORD000302,Regional Carrier,Standard,7.25,0,No Delay
SHP000303,ORD000303,UPS,Standard,14.85,0,No Delay
SHP000305,ORD000305,FedEx,Standard,12.02,0,No Delay
SHP000306,ORD000306,FedEx,Expedited,16.46,0,No Delay
SHP000307,ORD000307,Regional Carrier,Expedited,23.74,0,No Delay
SHP000309,ORD000309,UPS,Expedited,26.57,0,No Delay
SHP000310,ORD000310,FedEx,Priority,39.23,0,No Delay
SHP000311,ORD000311,UPS,Standard,16.23,0,No Delay
SHP000312,ORD000312,UPS,Standard,9.35,0,No Delay
SHP000313,ORD000313,FedEx,Standard,6.2,0,No Delay
SHP000314,ORD000314,Regional Carrier,Expedited,20.2,0,No Delay
SHP000315,ORD000315,FedEx,Expedited,15.63,0,No Delay
SHP000316,ORD000316,Regional Carrier,Standard,8.35,0,No Delay
SHP000318,ORD000318,FedEx,Standard,13.8,0,No Delay
SHP000319,ORD000319,USPS,Standard,12.58,0,No Delay
SHP000320,ORD000320,USPS,Standard,14.58,0,No Delay
SHP000321,ORD000321,USPS,Priority,29.33,0,No Delay
SHP000322,ORD000322,DHL,Standard,9.52,0,No Delay
SHP000323,ORD000323,USPS,Expedited,16.84,0,No Delay
SHP000324,ORD000324,Regional Carrier,Standard,12.01,0,No Delay
SHP000325,ORD000325,FedEx,Standard,13.25,0,No Delay
SHP000326,ORD000326,UPS,Expedited,25.9,0,No Delay
SHP000327,ORD000327,Regional Carrier,Standard,11.62,0,No Delay
SHP000328,ORD000328,FedEx,Standard,12.35,0,No Delay
SHP000329,ORD000329,USPS,Expedited,18.89,0,No Delay
SHP000330,ORD000330,DHL,Standard,17.54,0,No Delay
SHP000331,ORD000331,USPS,Priority,53.94,0,No Delay
SHP000332,ORD000332,FedEx,Priority,54.24,0,No Delay
SHP000333,ORD000333,UPS,Standard,20.4,5,Inventory Shortage
SHP000334,ORD000334,Regional Carrier,Standard,11.4,0,No Delay
SHP000335,ORD000335,Regional Carrier,Standard,17.42,0,No Delay
SHP000336,ORD000336,FedEx,Standard,16.03,0,No Delay
SHP000337,ORD000337,DHL,Priority,38.09,0,No Delay
SHP000338,ORD000338,FedEx,Standard,15.55,0,No Delay
SHP000339,ORD000339,USPS,Standard,9.55,0,No Delay
SHP000340,ORD000340,UPS,Standard,10.71,0,No Delay
SHP000341,ORD000341,USPS,Expedited,28.47,0,No Delay
SHP000342,ORD000342,DHL,Expedited,20.03,1,Weather
SHP000343,ORD000343,FedEx,Expedited,30.49,3,System Issue
SHP000344,ORD000344,DHL,Expedited,41.72,7,Weather
SHP000345,ORD000345,DHL,Standard,14.8,0,No Delay
SHP000346,ORD000346,DHL,Expedited,24.34,0,No Delay
SHP000347,ORD000347,DHL,Standard,12.69,0,No Delay
SHP000348,ORD000348,Regional Carrier,Expedited,30.79,6,Weather
SHP000349,ORD000349,FedEx,Standard,6.49,0,No Delay
SHP000350,ORD000350,DHL,Priority,38.76,0,No Delay
SHP000351,ORD000351,Regional Carrier,Standard,16.5,0,No Delay
SHP000352,ORD000352,DHL,Standard,12.26,0,No Delay
SHP000353,ORD000353,USPS,Standard,8.13,0,No Delay
SHP000354,ORD000354,Regional Carrier,Standard,9.94,1,Weather
SHP000355,ORD000355,USPS,Expedited,22.68,0,No Delay
SHP000356,ORD000356,UPS,Standard,11.94,0,No Delay
SHP000358,ORD000358,DHL,Expedited,20.59,0,No Delay
SHP000359,ORD000359,Regional Carrier,Standard,9.56,0,No Delay
SHP000360,ORD000360,USPS,Priority,48.15,0,No Delay
SHP000361,ORD000361,USPS,Standard,16.3,0,No Delay
SHP000362,ORD000362,USPS,Standard,6.12,0,No Delay
SHP000363,ORD000363,UPS,Standard,10.69,0,No Delay
SHP000364,ORD000364,FedEx,Standard,17.95,0,No Delay
SHP000365,ORD000365,DHL,Expedited,18.52,0,No Delay
SHP000366,ORD000366,Regional Carrier,Standard,23.68,5,Supplier Delay
SHP000367,ORD000367,USPS,Standard,17.78,0,No Delay
SHP000368,ORD000368,USPS,Standard,17.57,0,No Delay
SHP000369,ORD000369,FedEx,Standard,12.16,0,No Delay
SHP000370,ORD000370,Regional Carrier,Standard,14.38,0,No Delay
SHP000371,ORD000371,FedEx,Standard,16.76,0,No Delay
SHP000372,ORD000372,UPS,Standard,14.38,0,No Delay
SHP000373,ORD000373,UPS,Standard,16.28,0,No Delay
SHP000374,ORD000374,FedEx,Standard,14.71,0,No Delay
SHP000375,ORD000375,DHL,Standard,7.44,0,No Delay
SHP000376,ORD000376,UPS,Standard,15.71,0,No Delay
SHP000377,ORD000377,FedEx,Standard,12.89,0,No Delay
SHP000378,ORD000378,USPS,Standard,11.82,0,No Delay
SHP000379,ORD000379,DHL,Expedited,17.06,0,No Delay
SHP000380,ORD000380,Regional Carrier,Standard,12.76,0,No Delay
SHP000381,ORD000381,FedEx,Priority,29.01,0,No Delay
SHP000382,ORD000382,Regional Carrier,Standard,15.15,0,No Delay
SHP000384,ORD000384,DHL,Priority,41.9,0,No Delay
SHP000385,ORD000385,Regional Carrier,Standard,11.77,0,No Delay
SHP000388,ORD000388,USPS,Standard,12.45,0,No Delay
SHP000389,ORD000389,DHL,Expedited,31.9,4,System Issue
SHP000390,ORD000390,FedEx,Expedited,19.47,0,No Delay
SHP000391,ORD000391,DHL,Priority,35.75,0,No Delay
SHP000392,ORD000392,FedEx,Priority,43.77,6,System Issue
SHP000393,ORD000393,FedEx,Expedited,33.93,0,No Delay
SHP000394,ORD000394,Regional Carrier,Standard,16.82,0,No Delay
SHP000395,ORD000395,UPS,Standard,15.9,0,No Delay
SHP000396,ORD000396,FedEx,Standard,13.28,0,No Delay
SHP000397,ORD000397,UPS,Expedited,22.55,0,No Delay
SHP000398,ORD000398,DHL,Priority,54.2,0,No Delay
SHP000399,ORD000399,Regional Carrier,Standard,14.21,0,No Delay
SHP000400,ORD000400,Regional Carrier,Expedited,26.24,0,No Delay
SHP000401,ORD000401,USPS,Standard,11.66,0,No Delay
SHP000402,ORD000402,USPS,Expedited,18.11,0,No Delay
SHP000403,ORD000403,DHL,Standard,7.8,0,No Delay
SHP000404,ORD000404,USPS,Standard,14.65,0,No Delay
SHP000405,ORD000405,FedEx,Priority,36.98,0,No Delay
SHP000406,ORD000406,FedEx,Standard,13.98,0,No Delay
SHP000407,ORD000407,UPS,Standard,13.93,0,No Delay
SHP000408,ORD000408,UPS,Expedited,34.86,0,No Delay
SHP000409,ORD000409,Regional Carrier,Standard,7.1,0,No Delay
SHP000410,ORD000410,Regional Carrier,Priority,50.98,7,System Issue
SHP000411,ORD000411,UPS,Standard,14.51,0,No Delay
SHP000412,ORD000412,UPS,Priority,34.76,0,No Delay
SHP000413,ORD000413,UPS,Standard,14.68,0,No Delay
SHP000414,ORD000414,USPS,Standard,15.99,0,No Delay
SHP000415,ORD000415,FedEx,Standard,17.27,0,No Delay
SHP000416,ORD000416,USPS,Standard,6.89,0,No Delay
SHP000417,ORD000417,Regional Carrier,Expedited,22.72,4,Weather
SHP000418,ORD000418,FedEx,Standard,6.03,0,No Delay
SHP000419,ORD000419,FedEx,Standard,7.31,0,No Delay
SHP000420,ORD000420,USPS,Standard,15.93,0,No Delay
SHP000421,ORD000421,FedEx,Standard,21.34,8,Supplier Delay
SHP000422,ORD000422,FedEx,Standard,13.91,0,No Delay
SHP000423,ORD000423,USPS,Expedited,28.96,0,No Delay
SHP000425,ORD000425,USPS,Standard,6.98,0,No Delay
SHP000426,ORD000426,DHL,Standard,13.06,0,No Delay
SHP000427,ORD000427,Regional Carrier,Standard,9.01,0,No Delay
SHP000428,ORD000428,FedEx,Priority,50.06,0,No Delay
SHP000429,ORD000429,UPS,Standard,15.63,0,No Delay
SHP000430,ORD000430,FedEx,Standard,15.16,0,No Delay
SHP000431,ORD000431,Regional Carrier,Expedited,15.81,0,No Delay
SHP000432,ORD000432,Regional Carrier,Standard,6.52,0,No Delay
SHP000433,ORD000433,UPS,Standard,10.84,0,No Delay
SHP000434,ORD000434,DHL,Standard,15.13,0,No Delay
SHP000435,ORD000435,UPS,Expedited,31.23,0,No Delay
SHP000436,ORD000436,Regional Carrier,Standard,11.53,0,No Delay
SHP000437,ORD000437,FedEx,Standard,6.02,0,No Delay
SHP000438,ORD000438,UPS,Standard,17.58,0,No Delay
SHP000439,ORD000439,FedEx,Standard,19.8,3,System Issue
SHP000440,ORD000440,USPS,Expedited,19.21,0,No Delay
SHP000441,ORD000441,Regional Carrier,Priority,26.89,0,No Delay
SHP000442,ORD000442,FedEx,Standard,18.28,4,Labor Constraint
SHP000443,ORD000443,UPS,Priority,31.11,0,No Delay
SHP000444,ORD000444,FedEx,Priority,35.43,0,No Delay
